Tick: 99671000, Cache Block Addr: 449088, Byte Offset: 30, FaultType: bit_flip, Mask: 10000000
Tick: 326680000, Cache Block Addr: 449280, Byte Offset: 53, FaultType: bit_flip, Mask: 00100000
Tick: 424427000, Cache Block Addr: 449280, Byte Offset: 50, FaultType: bit_flip, Mask: 01000000
Tick: 432894000, Cache Block Addr: 449728, Byte Offset: 4, FaultType: bit_flip, Mask: 10000000
Tick: 612622000, Cache Block Addr: 450112, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 612845000, Cache Block Addr: 450176, Byte Offset: 43, FaultType: bit_flip, Mask: 00000001
Tick: 921306000, Cache Block Addr: 449152, Byte Offset: 58, FaultType: bit_flip, Mask: 00001000
Tick: 930794000, Cache Block Addr: 449088, Byte Offset: 21, FaultType: bit_flip, Mask: 00000001
Tick: 973503000, Cache Block Addr: 449728, Byte Offset: 10, FaultType: bit_flip, Mask: 00000001
Tick: 1076949000, Cache Block Addr: 450048, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 1201259000, Cache Block Addr: 449344, Byte Offset: 26, FaultType: bit_flip, Mask: 00100000
Tick: 1240273000, Cache Block Addr: 448768, Byte Offset: 30, FaultType: bit_flip, Mask: 00000010
Tick: 1280734000, Cache Block Addr: 448960, Byte Offset: 40, FaultType: bit_flip, Mask: 00100000
Tick: 1406008000, Cache Block Addr: 448960, Byte Offset: 14, FaultType: bit_flip, Mask: 00000010
Tick: 1421285000, Cache Block Addr: 450688, Byte Offset: 20, FaultType: bit_flip, Mask: 00001000
Tick: 1833871000, Cache Block Addr: 449152, Byte Offset: 62, FaultType: bit_flip, Mask: 00000001
Tick: 1916315000, Cache Block Addr: 450240, Byte Offset: 11, FaultType: bit_flip, Mask: 00100000
Tick: 2081815000, Cache Block Addr: 450176, Byte Offset: 29, FaultType: bit_flip, Mask: 00000010
