stat,value,pct,cum_pct
simSeconds,0.002174,,
simTicks,2174214000.0,,
finalTick,2174214000.0,,
simFreq,1000000000000.0,,
hostSeconds,28.54,,
hostTickRate,76173338.0,,
hostMemory,8532404.0,,
simInsts,397903.0,,
simOps,397949.0,,
hostInstRate,13940.0,,
hostOpRate,13942.0,,
system.chaos.numFaultsInjected,18.0,,
system.chaos.numBitFlips,18.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,2174217.0,,
system.cpu.cpi,5.464189,,
system.cpu.ipc,0.18301,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,420869.0,,
system.cpu.nonSpecInstsAdded,286.0,,
system.cpu.instsIssued,587361.0,,
system.cpu.squashedInstsIssued,1450.0,,
system.cpu.squashedInstsExamined,23205.0,,
system.cpu.squashedOperandsExamined,13804.0,,
system.cpu.squashedNonSpecRemoved,152.0,,
system.cpu.numIssuedDist::samples,2162483.0,,
system.cpu.numIssuedDist::mean,0.271614,,
system.cpu.numIssuedDist::stdev,0.871318,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,1882044.0,87.03,87.03
system.cpu.numIssuedDist::1,120723.0,5.58,92.61
system.cpu.numIssuedDist::2,82379.0,3.81,96.42
system.cpu.numIssuedDist::3,51193.0,2.37,98.79
system.cpu.numIssuedDist::4,7097.0,0.33,99.12
system.cpu.numIssuedDist::5,5333.0,0.25,99.37
system.cpu.numIssuedDist::6,6347.0,0.29,99.66
system.cpu.numIssuedDist::7,3770.0,0.17,99.83
system.cpu.numIssuedDist::8,3597.0,0.17,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,2162483.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,5747.0,60.72,60.72
system.cpu.statFuBusy::IntMult,0.0,0.0,60.72
system.cpu.statFuBusy::IntDiv,0.0,0.0,60.72
system.cpu.statFuBusy::ByteMult,0.0,0.0,60.72
system.cpu.statFuBusy::ByteDiv,0.0,0.0,60.72
system.cpu.statFuBusy::FloatAdd,0.0,0.0,60.72
system.cpu.statFuBusy::FloatCmp,0.0,0.0,60.72
system.cpu.statFuBusy::FloatCvt,0.0,0.0,60.72
system.cpu.statFuBusy::FloatMult,0.0,0.0,60.72
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,60.72
system.cpu.statFuBusy::FloatDiv,0.0,0.0,60.72
system.cpu.statFuBusy::FloatMisc,0.0,0.0,60.72
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,60.72
system.cpu.statFuBusy::SimdAdd,0.0,0.0,60.72
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,60.72
system.cpu.statFuBusy::SimdAlu,0.0,0.0,60.72
