run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
5,OK,0,27,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:41+00:00
8,OK,0,29,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:43+00:00
2,OK,0,29,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:43+00:00
4,OK,0,29,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:43+00:00
6,OK,0,30,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:44+00:00
1,OK,0,30,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:44+00:00
7,OK,0,30,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:44+00:00
3,OK,0,31,-,2026-05-12T04:03:14+00:00,2026-05-12T04:03:45+00:00
9,OK,0,30,-,2026-05-12T04:03:41+00:00,2026-05-12T04:04:11+00:00
11,OK,0,30,-,2026-05-12T04:03:43+00:00,2026-05-12T04:04:13+00:00
14,OK,0,29,-,2026-05-12T04:03:44+00:00,2026-05-12T04:04:13+00:00
16,OK,0,28,-,2026-05-12T04:03:45+00:00,2026-05-12T04:04:13+00:00
13,OK,0,30,-,2026-05-12T04:03:44+00:00,2026-05-12T04:04:14+00:00
10,OK,0,32,-,2026-05-12T04:03:43+00:00,2026-05-12T04:04:15+00:00
12,OK,0,32,-,2026-05-12T04:03:43+00:00,2026-05-12T04:04:15+00:00
15,OK,0,32,-,2026-05-12T04:03:44+00:00,2026-05-12T04:04:16+00:00
17,OK,0,30,-,2026-05-12T04:04:11+00:00,2026-05-12T04:04:41+00:00
20,OK,0,29,-,2026-05-12T04:04:13+00:00,2026-05-12T04:04:42+00:00
18,OK,0,33,-,2026-05-12T04:04:13+00:00,2026-05-12T04:04:46+00:00
19,OK,0,33,-,2026-05-12T04:04:13+00:00,2026-05-12T04:04:46+00:00
