
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006013                       # Number of seconds simulated (Second)
simTicks                                   6012547000                       # Number of ticks simulated (Tick)
finalTick                                  6012547000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    487.41                       # Real time elapsed on the host (Second)
hostTickRate                                 12335769                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8531036                       # Number of bytes of host memory used (Byte)
simInsts                                     25233321                       # Number of instructions simulated (Count)
simOps                                       25233329                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    51770                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      51770                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     60                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           60                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6012548                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.238278                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               4.196777                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25438658                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      168                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26242978                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1757                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               205496                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            150966                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 106                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6002548                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.371973                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.162091                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    296917      4.95%      4.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    387236      6.45%     11.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    777746     12.96%     24.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    380484      6.34%     30.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1098599     18.30%     49.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1093408     18.22%     67.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    857196     14.28%     81.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    733510     12.22%     93.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    377452      6.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6002548                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51150      7.16%      7.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     42      0.01%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                48061      6.73%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.90% # attempts to use FU when none available (Count)
