
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000261                       # Number of seconds simulated (Second)
simTicks                                    261326000                       # Number of ticks simulated (Tick)
finalTick                                   261326000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.91                       # Real time elapsed on the host (Second)
hostTickRate                                 17521079                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530948                       # Number of bytes of host memory used (Byte)
simInsts                                       879048                       # Number of instructions simulated (Count)
simOps                                         879056                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    58937                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      58938                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                      4                       # Total number of faults injected (Count)
system.chaos.numBitFlips                            4                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           261327                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.297284                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.363786                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          910692                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      165                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         935045                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1639                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                31800                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19238                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              251249                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.721587                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.489747                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     43318     17.24%     17.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     17132      6.82%     24.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     29095     11.58%     35.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     14858      5.91%     41.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     39552     15.74%     57.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     38522     15.33%     72.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     30224     12.03%     84.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     25397     10.11%     94.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     13151      5.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                251249                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1861      7.10%      7.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     62      0.24%      7.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       3      0.01%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 1629      6.21%     13.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.56% # attempts to use FU when none available (Count)
