
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006006                       # Number of seconds simulated (Second)
simTicks                                   6006365000                       # Number of ticks simulated (Tick)
finalTick                                  6006365000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    485.21                       # Real time elapsed on the host (Second)
hostTickRate                                 12378876                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8531016                       # Number of bytes of host memory used (Byte)
simInsts                                     25200959                       # Number of instructions simulated (Count)
simOps                                       25200967                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    51938                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      51938                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     50                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           50                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6006366                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.238339                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               4.195708                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25406756                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      160                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26209758                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1690                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               205948                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            151019                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5996293                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.370994                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.162732                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    297641      4.96%      4.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    386870      6.45%     11.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    776910     12.96%     24.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    380077      6.34%     30.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1097194     18.30%     49.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1092009     18.21%     67.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    856093     14.28%     81.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    732534     12.22%     93.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    376965      6.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5996293                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51095      7.17%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     53      0.01%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                47997      6.73%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.90% # attempts to use FU when none available (Count)
