Tick: 83408000, Cache Block Addr: 423744, Byte Offset: 40, FaultType: bit_flip, Mask: 00000010
Tick: 83563000, Cache Block Addr: 423040, Byte Offset: 52, FaultType: bit_flip, Mask: 00000100
Tick: 177246000, Cache Block Addr: 423232, Byte Offset: 54, FaultType: bit_flip, Mask: 01000000
Tick: 188405000, Cache Block Addr: 423744, Byte Offset: 24, FaultType: bit_flip, Mask: 00000100
Tick: 373325000, Cache Block Addr: 269888, Byte Offset: 8, FaultType: bit_flip, Mask: 00000100
Tick: 575433000, Cache Block Addr: 423040, Byte Offset: 52, FaultType: bit_flip, Mask: 01000000
Tick: 657314000, Cache Block Addr: 423808, Byte Offset: 41, FaultType: bit_flip, Mask: 00001000
Tick: 749815000, Cache Block Addr: 423232, Byte Offset: 33, FaultType: bit_flip, Mask: 00000010
Tick: 945103000, Cache Block Addr: 424704, Byte Offset: 30, FaultType: bit_flip, Mask: 10000000
Tick: 1023595000, Cache Block Addr: 423104, Byte Offset: 45, FaultType: bit_flip, Mask: 00000001
Tick: 1074540000, Cache Block Addr: 424192, Byte Offset: 33, FaultType: bit_flip, Mask: 00010000
Tick: 1172425000, Cache Block Addr: 424384, Byte Offset: 11, FaultType: bit_flip, Mask: 01000000
Tick: 1208858000, Cache Block Addr: 423616, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 1221546000, Cache Block Addr: 423232, Byte Offset: 20, FaultType: bit_flip, Mask: 00010000
Tick: 1275596000, Cache Block Addr: 424448, Byte Offset: 33, FaultType: bit_flip, Mask: 01000000
Tick: 1341274000, Cache Block Addr: 424576, Byte Offset: 25, FaultType: bit_flip, Mask: 00000100
Tick: 1574578000, Cache Block Addr: 423936, Byte Offset: 56, FaultType: bit_flip, Mask: 00010000
Tick: 1642082000, Cache Block Addr: 424256, Byte Offset: 44, FaultType: bit_flip, Mask: 00100000
Tick: 1664037000, Cache Block Addr: 424384, Byte Offset: 53, FaultType: bit_flip, Mask: 10000000
Tick: 1842364000, Cache Block Addr: 424128, Byte Offset: 55, FaultType: bit_flip, Mask: 00000100
Tick: 1870932000, Cache Block Addr: 423744, Byte Offset: 14, FaultType: bit_flip, Mask: 00000001
Tick: 2018616000, Cache Block Addr: 424384, Byte Offset: 53, FaultType: bit_flip, Mask: 00010000
Tick: 2077595000, Cache Block Addr: 423104, Byte Offset: 28, FaultType: bit_flip, Mask: 10000000
Tick: 2202461000, Cache Block Addr: 423040, Byte Offset: 4, FaultType: bit_flip, Mask: 00010000
Tick: 2380301000, Cache Block Addr: 424704, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 2459375000, Cache Block Addr: 424256, Byte Offset: 20, FaultType: bit_flip, Mask: 00000100
Tick: 2491234000, Cache Block Addr: 424704, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 2503284000, Cache Block Addr: 424832, Byte Offset: 43, FaultType: bit_flip, Mask: 00000100
Tick: 2668324000, Cache Block Addr: 423168, Byte Offset: 40, FaultType: bit_flip, Mask: 00001000
Tick: 2689106000, Cache Block Addr: 423360, Byte Offset: 26, FaultType: bit_flip, Mask: 00001000
Tick: 2740717000, Cache Block Addr: 423360, Byte Offset: 27, FaultType: bit_flip, Mask: 10000000
Tick: 2780895000, Cache Block Addr: 424576, Byte Offset: 33, FaultType: bit_flip, Mask: 00001000
