stat,value,pct,cum_pct
simSeconds,0.000255,,
simTicks,254855000.0,,
finalTick,254855000.0,,
simFreq,1000000000000.0,,
hostSeconds,14.44,,
hostTickRate,17654723.0,,
hostMemory,8531044.0,,
simInsts,859828.0,,
simOps,859836.0,,
hostInstRate,59563.0,,
hostOpRate,59564.0,,
system.chaos.numFaultsInjected,22.0,,
system.chaos.numBitFlips,22.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,254857.0,,
system.cpu.cpi,0.296405,,
system.cpu.ipc,3.373766,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,889657.0,,
system.cpu.nonSpecInstsAdded,156.0,,
system.cpu.instsIssued,913815.0,,
system.cpu.squashedInstsIssued,1663.0,,
system.cpu.squashedInstsExamined,29976.0,,
system.cpu.squashedOperandsExamined,18587.0,,
system.cpu.squashedNonSpecRemoved,94.0,,
system.cpu.numIssuedDist::samples,244999.0,,
system.cpu.numIssuedDist::mean,3.729872,,
system.cpu.numIssuedDist::stdev,2.488321,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,41999.0,17.14,17.14
system.cpu.numIssuedDist::1,16639.0,6.79,23.93
system.cpu.numIssuedDist::2,28312.0,11.56,35.49
system.cpu.numIssuedDist::3,14469.0,5.91,41.4
system.cpu.numIssuedDist::4,38636.0,15.77,57.17
system.cpu.numIssuedDist::5,37619.0,15.35,72.52
system.cpu.numIssuedDist::6,29614.0,12.09,84.61
system.cpu.numIssuedDist::7,24866.0,10.15,94.76
system.cpu.numIssuedDist::8,12845.0,5.24,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,244999.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,1820.0,7.13,7.13
system.cpu.statFuBusy::IntMult,51.0,0.2,7.33
system.cpu.statFuBusy::IntDiv,13.0,0.05,7.38
system.cpu.statFuBusy::ByteMult,0.0,0.0,7.38
system.cpu.statFuBusy::ByteDiv,0.0,0.0,7.38
system.cpu.statFuBusy::FloatAdd,0.0,0.0,7.38
system.cpu.statFuBusy::FloatCmp,0.0,0.0,7.38
system.cpu.statFuBusy::FloatCvt,0.0,0.0,7.38
system.cpu.statFuBusy::FloatMult,1597.0,6.26,13.64
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,13.64
system.cpu.statFuBusy::FloatDiv,0.0,0.0,13.64
system.cpu.statFuBusy::FloatMisc,0.0,0.0,13.64
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,13.64
system.cpu.statFuBusy::SimdAdd,0.0,0.0,13.64
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdAlu,0.0,0.0,13.64
system.cpu.statFuBusy::SimdCmp,0.0,0.0,13.64
system.cpu.statFuBusy::SimdCvt,0.0,0.0,13.64
system.cpu.statFuBusy::SimdMisc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdMult,0.0,0.0,13.64
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdShift,0.0,0.0,13.64
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdDiv,0.0,0.0,13.64
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,13.64
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,13.64
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,13.64
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,13.64
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,13.64
system.cpu.statFuBusy::SimdAes,0.0,0.0,13.64
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,13.64
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,13.64
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,13.64
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,13.64
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,13.64
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,13.64
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,13.64
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,13.64
system.cpu.statFuBusy::Matrix,0.0,0.0,13.64
system.cpu.statFuBusy::MatrixMov,0.0,0.0,13.64
system.cpu.statFuBusy::MatrixOP,0.0,0.0,13.64
system.cpu.statFuBusy::MemRead,15095.0,59.14,72.78
system.cpu.statFuBusy::MemWrite,320.0,1.25,74.03
system.cpu.statFuBusy::FloatMemRead,6621.0,25.94,99.97
system.cpu.statFuBusy::FloatMemWrite,7.0,0.03,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorMisc,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerExtension,0.0,0.0,100.0
system.cpu.statFuBusy::VectorConfig,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::No_OpClass,35.0,0.0,0.0
system.cpu.statIssuedInstType_0::IntAlu,534206.0,58.46,58.46
system.cpu.statIssuedInstType_0::IntMult,136.0,0.01,58.48
system.cpu.statIssuedInstType_0::IntDiv,68.0,0.01,58.49
system.cpu.statIssuedInstType_0::ByteMult,0.0,0.0,58.49
system.cpu.statIssuedInstType_0::ByteDiv,0.0,0.0,58.49
system.cpu.statIssuedInstType_0::FloatAdd,25663.0,2.81,61.29
system.cpu.statIssuedInstType_0::FloatCmp,2.0,0.0,61.29
system.cpu.statIssuedInstType_0::FloatCvt,267.0,0.03,61.32
system.cpu.statIssuedInstType_0::FloatMult,38100.0,4.17,65.49
system.cpu.statIssuedInstType_0::FloatMultAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::FloatDiv,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::FloatMisc,1.0,0.0,65.49
system.cpu.statIssuedInstType_0::FloatSqrt,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdAdd,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdAddAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdAlu,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdCmp,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdCvt,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdMisc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdMult,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdMultAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdMatMultAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdShift,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdShiftAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdDiv,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdSqrt,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatAdd,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatAlu,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatCmp,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatCvt,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatDiv,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatMisc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatMult,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatMultAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatMatMultAcc,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatSqrt,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdReduceAdd,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdReduceAlu,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdReduceCmp,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdAes,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdAesMix,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdSha1Hash,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdSha1Hash2,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdSha256Hash,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdSha256Hash2,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdShaSigma2,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdShaSigma3,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::SimdPredAlu,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::Matrix,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::MatrixMov,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::MatrixOP,0.0,0.0,65.49
system.cpu.statIssuedInstType_0::MemRead,140348.0,15.36,80.85
system.cpu.statIssuedInstType_0::MemWrite,29558.0,3.23,84.09
system.cpu.statIssuedInstType_0::FloatMemRead,119506.0,13.08,97.16
system.cpu.statIssuedInstType_0::FloatMemWrite,25925.0,2.84,100.0
system.cpu.statIssuedInstType_0::IprAccess,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::InstPrefetch,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorStridedLoad,0.0,0.0,100.0
