Tick: 61130000, Cache Block Addr: 89344, Byte Offset: 31, FaultType: bit_flip, Mask: 00000100
Tick: 67598000, Cache Block Addr: 109504, Byte Offset: 0, FaultType: bit_flip, Mask: 10000000
Tick: 83840000, Cache Block Addr: 111680, Byte Offset: 55, FaultType: bit_flip, Mask: 00000100
Tick: 114412000, Cache Block Addr: 88192, Byte Offset: 2, FaultType: bit_flip, Mask: 01000000
Tick: 123112000, Cache Block Addr: 86592, Byte Offset: 22, FaultType: bit_flip, Mask: 01000000
Tick: 128409000, Cache Block Addr: 82368, Byte Offset: 5, FaultType: bit_flip, Mask: 00010000
Tick: 130615000, Cache Block Addr: 74560, Byte Offset: 2, FaultType: bit_flip, Mask: 00010000
Tick: 131290000, Cache Block Addr: 76224, Byte Offset: 35, FaultType: bit_flip, Mask: 00100000
Tick: 161901000, Cache Block Addr: 121920, Byte Offset: 5, FaultType: bit_flip, Mask: 10000000
Tick: 165538000, Cache Block Addr: 120256, Byte Offset: 47, FaultType: bit_flip, Mask: 00000001
Tick: 191100000, Cache Block Addr: 97216, Byte Offset: 61, FaultType: bit_flip, Mask: 01000000
Tick: 199252000, Cache Block Addr: 80256, Byte Offset: 20, FaultType: bit_flip, Mask: 00000001
Tick: 202403000, Cache Block Addr: 82752, Byte Offset: 33, FaultType: bit_flip, Mask: 10000000
Tick: 225264000, Cache Block Addr: 72000, Byte Offset: 24, FaultType: bit_flip, Mask: 01000000
Tick: 257548000, Cache Block Addr: 99904, Byte Offset: 54, FaultType: bit_flip, Mask: 00100000
Tick: 267860000, Cache Block Addr: 91392, Byte Offset: 15, FaultType: bit_flip, Mask: 00100000
Tick: 271933000, Cache Block Addr: 99328, Byte Offset: 53, FaultType: bit_flip, Mask: 00000001
Tick: 275468000, Cache Block Addr: 122944, Byte Offset: 63, FaultType: bit_flip, Mask: 01000000
Tick: 316641000, Cache Block Addr: 96000, Byte Offset: 6, FaultType: bit_flip, Mask: 00000100
Tick: 317643000, Cache Block Addr: 79232, Byte Offset: 1, FaultType: bit_flip, Mask: 00000010
Tick: 321842000, Cache Block Addr: 91456, Byte Offset: 57, FaultType: bit_flip, Mask: 00000001
Tick: 321863000, Cache Block Addr: 78208, Byte Offset: 46, FaultType: bit_flip, Mask: 00000100
Tick: 328838000, Cache Block Addr: 104000, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 339476000, Cache Block Addr: 97280, Byte Offset: 63, FaultType: bit_flip, Mask: 00001000
Tick: 344996000, Cache Block Addr: 113472, Byte Offset: 5, FaultType: bit_flip, Mask: 00001000
