run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,5,-,2026-05-11T00:25:33+00:00,2026-05-11T00:25:38+00:00
2,OK,0,5,-,2026-05-11T00:25:34+00:00,2026-05-11T00:25:39+00:00
3,OK,0,5,-,2026-05-11T00:25:34+00:00,2026-05-11T00:25:39+00:00
4,OK,0,5,-,2026-05-11T00:25:34+00:00,2026-05-11T00:25:39+00:00
5,OK,0,5,-,2026-05-11T00:25:35+00:00,2026-05-11T00:25:40+00:00
6,OK,0,5,-,2026-05-11T00:25:38+00:00,2026-05-11T00:25:43+00:00
7,OK,0,5,-,2026-05-11T00:25:39+00:00,2026-05-11T00:25:44+00:00
9,OK,0,5,-,2026-05-11T00:25:39+00:00,2026-05-11T00:25:44+00:00
8,OK,0,6,-,2026-05-11T00:25:39+00:00,2026-05-11T00:25:45+00:00
10,OK,0,5,-,2026-05-11T00:25:40+00:00,2026-05-11T00:25:45+00:00
11,OK,0,4,-,2026-05-11T00:25:43+00:00,2026-05-11T00:25:47+00:00
12,OK,0,5,-,2026-05-11T00:25:44+00:00,2026-05-11T00:25:49+00:00
13,OK,0,5,-,2026-05-11T00:25:44+00:00,2026-05-11T00:25:49+00:00
14,OK,0,5,-,2026-05-11T00:25:44+00:00,2026-05-11T00:25:49+00:00
15,OK,0,5,-,2026-05-11T00:25:45+00:00,2026-05-11T00:25:50+00:00
16,OK,0,5,-,2026-05-11T00:25:45+00:00,2026-05-11T00:25:50+00:00
17,OK,0,5,-,2026-05-11T00:25:47+00:00,2026-05-11T00:25:52+00:00
18,OK,0,5,-,2026-05-11T00:25:49+00:00,2026-05-11T00:25:54+00:00
19,OK,0,5,-,2026-05-11T00:25:49+00:00,2026-05-11T00:25:54+00:00
20,OK,0,5,-,2026-05-11T00:25:49+00:00,2026-05-11T00:25:54+00:00
21,OK,0,4,-,2026-05-11T00:25:50+00:00,2026-05-11T00:25:54+00:00
22,OK,0,5,-,2026-05-11T00:25:50+00:00,2026-05-11T00:25:55+00:00
23,OK,0,5,-,2026-05-11T00:25:52+00:00,2026-05-11T00:25:57+00:00
24,OK,0,4,-,2026-05-11T00:25:54+00:00,2026-05-11T00:25:58+00:00
28,OK,0,4,-,2026-05-11T00:25:55+00:00,2026-05-11T00:25:59+00:00
27,OK,0,5,-,2026-05-11T00:25:54+00:00,2026-05-11T00:25:59+00:00
30,OK,0,5,-,2026-05-11T00:25:58+00:00,2026-05-11T00:26:03+00:00
32,OK,0,5,-,2026-05-11T00:25:59+00:00,2026-05-11T00:26:04+00:00
33,OK,0,5,-,2026-05-11T00:26:03+00:00,2026-05-11T00:26:08+00:00
25,CRASH,137,15,exit_137,2026-05-11T00:25:54+00:00,2026-05-11T00:26:09+00:00
26,CRASH,137,15,exit_137,2026-05-11T00:25:54+00:00,2026-05-11T00:26:09+00:00
34,OK,0,5,-,2026-05-11T00:26:04+00:00,2026-05-11T00:26:09+00:00
29,CRASH,137,15,exit_137,2026-05-11T00:25:57+00:00,2026-05-11T00:26:12+00:00
35,OK,0,5,-,2026-05-11T00:26:08+00:00,2026-05-11T00:26:13+00:00
37,OK,0,5,-,2026-05-11T00:26:09+00:00,2026-05-11T00:26:14+00:00
38,OK,0,5,-,2026-05-11T00:26:09+00:00,2026-05-11T00:26:14+00:00
31,CRASH,137,15,exit_137,2026-05-11T00:25:59+00:00,2026-05-11T00:26:14+00:00
40,OK,0,5,-,2026-05-11T00:26:13+00:00,2026-05-11T00:26:18+00:00
36,CRASH,137,15,exit_137,2026-05-11T00:26:09+00:00,2026-05-11T00:26:24+00:00
39,CRASH,137,15,exit_137,2026-05-11T00:26:12+00:00,2026-05-11T00:26:27+00:00
