
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001676                       # Number of seconds simulated (Second)
simTicks                                   1675726000                       # Number of ticks simulated (Tick)
finalTick                                  1675726000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     29.55                       # Real time elapsed on the host (Second)
hostTickRate                                 56698869                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530908                       # Number of bytes of host memory used (Byte)
simInsts                                       893025                       # Number of instructions simulated (Count)
simOps                                         893031                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30216                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      30216                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                    174                       # Total number of faults injected (Count)
system.chaos.numBitFlips                          174                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1675727                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.876461                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.532918                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          964317                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2152                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         952271                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1747                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73437                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37395                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2103                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1670378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.570093                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.401667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1276239     76.40%     76.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    200455     12.00%     88.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     54773      3.28%     91.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     58702      3.51%     95.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     21446      1.28%     96.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     13821      0.83%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     17863      1.07%     98.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     12535      0.75%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14544      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1670378                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4188     16.48%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.48% # attempts to use FU when none available (Count)
