Tick: 62168000, Cache Block Addr: 457664, Byte Offset: 57, FaultType: bit_flip, Mask: 00000100
Tick: 62938000, Cache Block Addr: 478144, Byte Offset: 30, FaultType: bit_flip, Mask: 00000001
Tick: 72724000, Cache Block Addr: 462784, Byte Offset: 6, FaultType: bit_flip, Mask: 00000001
Tick: 74034000, Cache Block Addr: 416320, Byte Offset: 59, FaultType: bit_flip, Mask: 01000000
Tick: 116494000, Cache Block Addr: 470912, Byte Offset: 50, FaultType: bit_flip, Mask: 00010000
Tick: 130366000, Cache Block Addr: 470784, Byte Offset: 11, FaultType: bit_flip, Mask: 10000000
Tick: 130764000, Cache Block Addr: 498944, Byte Offset: 10, FaultType: bit_flip, Mask: 00000010
Tick: 151223000, Cache Block Addr: 485632, Byte Offset: 21, FaultType: bit_flip, Mask: 00001000
Tick: 161293000, Cache Block Addr: 508800, Byte Offset: 50, FaultType: bit_flip, Mask: 00100000
Tick: 163205000, Cache Block Addr: 501632, Byte Offset: 27, FaultType: bit_flip, Mask: 00100000
Tick: 167575000, Cache Block Addr: 507776, Byte Offset: 11, FaultType: bit_flip, Mask: 00000010
Tick: 167830000, Cache Block Addr: 507328, Byte Offset: 13, FaultType: bit_flip, Mask: 00000001
Tick: 193773000, Cache Block Addr: 521408, Byte Offset: 6, FaultType: bit_flip, Mask: 01000000
Tick: 195945000, Cache Block Addr: 499264, Byte Offset: 23, FaultType: bit_flip, Mask: 00000010
Tick: 209917000, Cache Block Addr: 510848, Byte Offset: 3, FaultType: bit_flip, Mask: 00000001
Tick: 219347000, Cache Block Addr: 501504, Byte Offset: 42, FaultType: bit_flip, Mask: 00100000
Tick: 219606000, Cache Block Addr: 527680, Byte Offset: 17, FaultType: bit_flip, Mask: 00000100
Tick: 231552000, Cache Block Addr: 530048, Byte Offset: 47, FaultType: bit_flip, Mask: 01000000
Tick: 241563000, Cache Block Addr: 521920, Byte Offset: 11, FaultType: bit_flip, Mask: 00000001
Tick: 245889000, Cache Block Addr: 531392, Byte Offset: 50, FaultType: bit_flip, Mask: 01000000
Tick: 265974000, Cache Block Addr: 471168, Byte Offset: 24, FaultType: bit_flip, Mask: 01000000
Tick: 268025000, Cache Block Addr: 493696, Byte Offset: 45, FaultType: bit_flip, Mask: 00100000
Tick: 272640000, Cache Block Addr: 503040, Byte Offset: 16, FaultType: bit_flip, Mask: 01000000
Tick: 278494000, Cache Block Addr: 496384, Byte Offset: 57, FaultType: bit_flip, Mask: 00001000
Tick: 279616000, Cache Block Addr: 509056, Byte Offset: 30, FaultType: bit_flip, Mask: 01000000
Tick: 302408000, Cache Block Addr: 506176, Byte Offset: 11, FaultType: bit_flip, Mask: 00000100
Tick: 308134000, Cache Block Addr: 526272, Byte Offset: 0, FaultType: bit_flip, Mask: 00100000
Tick: 308586000, Cache Block Addr: 509376, Byte Offset: 54, FaultType: bit_flip, Mask: 01000000
Tick: 310315000, Cache Block Addr: 471552, Byte Offset: 42, FaultType: bit_flip, Mask: 00000001
Tick: 334752000, Cache Block Addr: 528832, Byte Offset: 26, FaultType: bit_flip, Mask: 01000000
Tick: 348756000, Cache Block Addr: 495616, Byte Offset: 29, FaultType: bit_flip, Mask: 00100000
Tick: 349693000, Cache Block Addr: 481664, Byte Offset: 11, FaultType: bit_flip, Mask: 00010000
Tick: 369301000, Cache Block Addr: 510976, Byte Offset: 26, FaultType: bit_flip, Mask: 10000000
Tick: 386768000, Cache Block Addr: 523200, Byte Offset: 20, FaultType: bit_flip, Mask: 10000000
