run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,4,-,2026-05-11T00:24:40+00:00,2026-05-11T00:24:44+00:00
2,OK,0,5,-,2026-05-11T00:24:44+00:00,2026-05-11T00:24:49+00:00
3,OK,0,4,-,2026-05-11T00:24:46+00:00,2026-05-11T00:24:50+00:00
4,OK,0,5,-,2026-05-11T00:24:46+00:00,2026-05-11T00:24:51+00:00
6,OK,0,5,-,2026-05-11T00:24:50+00:00,2026-05-11T00:24:55+00:00
7,OK,0,4,-,2026-05-11T00:24:51+00:00,2026-05-11T00:24:55+00:00
8,OK,0,5,-,2026-05-11T00:24:51+00:00,2026-05-11T00:24:56+00:00
9,OK,0,5,-,2026-05-11T00:24:54+00:00,2026-05-11T00:24:59+00:00
10,OK,0,5,-,2026-05-11T00:24:54+00:00,2026-05-11T00:24:59+00:00
11,OK,0,5,-,2026-05-11T00:24:55+00:00,2026-05-11T00:25:00+00:00
12,OK,0,5,-,2026-05-11T00:24:55+00:00,2026-05-11T00:25:00+00:00
13,OK,0,5,-,2026-05-11T00:24:56+00:00,2026-05-11T00:25:01+00:00
5,CRASH,137,15,exit_137,2026-05-11T00:24:49+00:00,2026-05-11T00:25:04+00:00
16,OK,0,5,-,2026-05-11T00:25:00+00:00,2026-05-11T00:25:05+00:00
18,OK,0,5,-,2026-05-11T00:25:01+00:00,2026-05-11T00:25:06+00:00
19,OK,0,5,-,2026-05-11T00:25:04+00:00,2026-05-11T00:25:09+00:00
21,OK,0,5,-,2026-05-11T00:25:06+00:00,2026-05-11T00:25:11+00:00
22,OK,0,5,-,2026-05-11T00:25:09+00:00,2026-05-11T00:25:14+00:00
14,CRASH,137,15,exit_137,2026-05-11T00:24:59+00:00,2026-05-11T00:25:14+00:00
15,CRASH,137,15,exit_137,2026-05-11T00:24:59+00:00,2026-05-11T00:25:14+00:00
17,CRASH,137,15,exit_137,2026-05-11T00:25:00+00:00,2026-05-11T00:25:15+00:00
24,OK,0,4,-,2026-05-11T00:25:14+00:00,2026-05-11T00:25:18+00:00
25,OK,0,5,-,2026-05-11T00:25:14+00:00,2026-05-11T00:25:19+00:00
20,CRASH,137,15,exit_137,2026-05-11T00:25:05+00:00,2026-05-11T00:25:20+00:00
27,OK,0,5,-,2026-05-11T00:25:15+00:00,2026-05-11T00:25:20+00:00
28,OK,0,4,-,2026-05-11T00:25:19+00:00,2026-05-11T00:25:23+00:00
30,OK,0,5,-,2026-05-11T00:25:20+00:00,2026-05-11T00:25:25+00:00
31,OK,0,5,-,2026-05-11T00:25:20+00:00,2026-05-11T00:25:25+00:00
23,CRASH,137,15,exit_137,2026-05-11T00:25:11+00:00,2026-05-11T00:25:26+00:00
32,OK,0,5,-,2026-05-11T00:25:23+00:00,2026-05-11T00:25:28+00:00
26,CRASH,137,15,exit_137,2026-05-11T00:25:14+00:00,2026-05-11T00:25:29+00:00
33,OK,0,4,-,2026-05-11T00:25:25+00:00,2026-05-11T00:25:29+00:00
34,OK,0,5,-,2026-05-11T00:25:25+00:00,2026-05-11T00:25:30+00:00
35,OK,0,4,-,2026-05-11T00:25:26+00:00,2026-05-11T00:25:30+00:00
36,OK,0,5,-,2026-05-11T00:25:28+00:00,2026-05-11T00:25:33+00:00
29,CRASH,137,15,exit_137,2026-05-11T00:25:19+00:00,2026-05-11T00:25:34+00:00
37,OK,0,5,-,2026-05-11T00:25:29+00:00,2026-05-11T00:25:34+00:00
39,OK,0,4,-,2026-05-11T00:25:30+00:00,2026-05-11T00:25:34+00:00
40,OK,0,5,-,2026-05-11T00:25:30+00:00,2026-05-11T00:25:35+00:00
38,CRASH,137,15,exit_137,2026-05-11T00:25:29+00:00,2026-05-11T00:25:44+00:00
