Tick: 63866000, Cache Block Addr: 460736, Byte Offset: 18, FaultType: bit_flip, Mask: 00000001
Tick: 95484000, Cache Block Addr: 458624, Byte Offset: 10, FaultType: bit_flip, Mask: 00001000
Tick: 103901000, Cache Block Addr: 457856, Byte Offset: 14, FaultType: bit_flip, Mask: 00100000
Tick: 104920000, Cache Block Addr: 480768, Byte Offset: 2, FaultType: bit_flip, Mask: 01000000
Tick: 107003000, Cache Block Addr: 382912, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 113825000, Cache Block Addr: 457856, Byte Offset: 36, FaultType: bit_flip, Mask: 00001000
Tick: 122821000, Cache Block Addr: 485824, Byte Offset: 52, FaultType: bit_flip, Mask: 00000100
Tick: 135739000, Cache Block Addr: 475776, Byte Offset: 32, FaultType: bit_flip, Mask: 01000000
Tick: 151275000, Cache Block Addr: 479296, Byte Offset: 39, FaultType: bit_flip, Mask: 00010000
Tick: 153947000, Cache Block Addr: 502016, Byte Offset: 32, FaultType: bit_flip, Mask: 00000001
Tick: 157289000, Cache Block Addr: 497664, Byte Offset: 16, FaultType: bit_flip, Mask: 00000010
Tick: 160127000, Cache Block Addr: 497856, Byte Offset: 56, FaultType: bit_flip, Mask: 00000001
Tick: 165363000, Cache Block Addr: 495488, Byte Offset: 0, FaultType: bit_flip, Mask: 00100000
Tick: 170710000, Cache Block Addr: 511168, Byte Offset: 61, FaultType: bit_flip, Mask: 00000001
Tick: 175856000, Cache Block Addr: 502080, Byte Offset: 63, FaultType: bit_flip, Mask: 10000000
Tick: 176927000, Cache Block Addr: 508224, Byte Offset: 62, FaultType: bit_flip, Mask: 00001000
Tick: 182286000, Cache Block Addr: 502272, Byte Offset: 62, FaultType: bit_flip, Mask: 00000010
Tick: 191039000, Cache Block Addr: 516672, Byte Offset: 12, FaultType: bit_flip, Mask: 00010000
Tick: 199669000, Cache Block Addr: 499584, Byte Offset: 46, FaultType: bit_flip, Mask: 00000001
Tick: 202663000, Cache Block Addr: 509056, Byte Offset: 24, FaultType: bit_flip, Mask: 10000000
Tick: 223343000, Cache Block Addr: 532160, Byte Offset: 45, FaultType: bit_flip, Mask: 00000001
Tick: 238641000, Cache Block Addr: 524544, Byte Offset: 27, FaultType: bit_flip, Mask: 00000001
Tick: 244446000, Cache Block Addr: 479616, Byte Offset: 9, FaultType: bit_flip, Mask: 10000000
