
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010000                       # Number of seconds simulated (Second)
simTicks                                  10000000000                       # Number of ticks simulated (Tick)
finalTick                                 10000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    257.43                       # Real time elapsed on the host (Second)
hostTickRate                                 38846030                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529216                       # Number of bytes of host memory used (Byte)
simInsts                                     13292388                       # Number of instructions simulated (Count)
simOps                                       13292388                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    51636                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      51636                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                   1035                       # Total number of faults injected (Count)
system.chaos.numBitFlips                         1035                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10000001                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.752310                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.329239                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        13296895                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       13309140                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    115                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 4475                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              2160                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9999247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.331014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.263017                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3382430     33.83%     33.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3293787     32.94%     66.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      9253      0.09%     66.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3292260     32.93%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5414      0.05%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5195      0.05%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6122      0.06%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2584      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2202      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9999247                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     620     19.49%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.49% # attempts to use FU when none available (Count)
