
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000466                       # Number of seconds simulated (Second)
simTicks                                    465773000                       # Number of ticks simulated (Tick)
finalTick                                   465773000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     16.79                       # Real time elapsed on the host (Second)
hostTickRate                                 27737144                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530740                       # Number of bytes of host memory used (Byte)
simInsts                                       700225                       # Number of instructions simulated (Count)
simOps                                         700231                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    41699                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41699                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     31                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           31                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           465774                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.665178                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.503358                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          771402                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2153                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         759527                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1758                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73323                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37184                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              460408                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.649682                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.198458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    201257     43.71%     43.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    104024     22.59%     66.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     35474      7.70%     74.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     39428      8.56%     82.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     21437      4.66%     87.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     13833      3.00%     90.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     17873      3.88%     94.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     12536      2.72%     96.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14546      3.16%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                460408                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4188     16.47%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     16.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     16.47% # attempts to use FU when none available (Count)
