run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,4,-,2026-05-09T23:18:40+00:00,2026-05-09T23:18:44+00:00
7,OK,0,5,-,2026-05-09T23:21:16+00:00,2026-05-09T23:21:21+00:00
8,OK,0,5,-,2026-05-09T23:21:21+00:00,2026-05-09T23:21:26+00:00
2,CRASH,134,185,exit_134,2026-05-09T23:18:44+00:00,2026-05-09T23:21:49+00:00
4,CRASH,134,163,exit_134,2026-05-09T23:19:39+00:00,2026-05-09T23:22:22+00:00
5,CRASH,134,168,exit_134,2026-05-09T23:20:09+00:00,2026-05-09T23:22:57+00:00
3,OK,0,258,-,2026-05-09T23:19:07+00:00,2026-05-09T23:23:25+00:00
6,CRASH,134,169,exit_134,2026-05-09T23:20:44+00:00,2026-05-09T23:23:33+00:00
9,CRASH,134,157,exit_134,2026-05-09T23:21:26+00:00,2026-05-09T23:24:03+00:00
10,CRASH,134,161,exit_134,2026-05-09T23:21:49+00:00,2026-05-09T23:24:30+00:00
