Tick: 73924000, Cache Block Addr: 472384, Byte Offset: 31, FaultType: bit_flip, Mask: 00000001
Tick: 80594000, Cache Block Addr: 481536, Byte Offset: 9, FaultType: bit_flip, Mask: 00000100
Tick: 86602000, Cache Block Addr: 462400, Byte Offset: 17, FaultType: bit_flip, Mask: 00010000
Tick: 95298000, Cache Block Addr: 485248, Byte Offset: 34, FaultType: bit_flip, Mask: 00000100
Tick: 107245000, Cache Block Addr: 486848, Byte Offset: 29, FaultType: bit_flip, Mask: 00000001
Tick: 108149000, Cache Block Addr: 476928, Byte Offset: 13, FaultType: bit_flip, Mask: 00001000
Tick: 120906000, Cache Block Addr: 468160, Byte Offset: 7, FaultType: bit_flip, Mask: 10000000
Tick: 129335000, Cache Block Addr: 471872, Byte Offset: 59, FaultType: bit_flip, Mask: 00001000
Tick: 131006000, Cache Block Addr: 493632, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
Tick: 132959000, Cache Block Addr: 477632, Byte Offset: 58, FaultType: bit_flip, Mask: 01000000
Tick: 137130000, Cache Block Addr: 497280, Byte Offset: 11, FaultType: bit_flip, Mask: 00001000
Tick: 141699000, Cache Block Addr: 500992, Byte Offset: 41, FaultType: bit_flip, Mask: 10000000
Tick: 142638000, Cache Block Addr: 503360, Byte Offset: 33, FaultType: bit_flip, Mask: 00000001
Tick: 144184000, Cache Block Addr: 483456, Byte Offset: 5, FaultType: bit_flip, Mask: 01000000
Tick: 149888000, Cache Block Addr: 499200, Byte Offset: 22, FaultType: bit_flip, Mask: 00000010
Tick: 156274000, Cache Block Addr: 487552, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 167575000, Cache Block Addr: 492864, Byte Offset: 22, FaultType: bit_flip, Mask: 00000100
Tick: 188880000, Cache Block Addr: 451136, Byte Offset: 51, FaultType: bit_flip, Mask: 10000000
Tick: 203376000, Cache Block Addr: 507200, Byte Offset: 15, FaultType: bit_flip, Mask: 10000000
Tick: 222862000, Cache Block Addr: 507392, Byte Offset: 34, FaultType: bit_flip, Mask: 00000010
