run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
4,OK,0,5,-,2026-05-11T00:22:11+00:00,2026-05-11T00:22:16+00:00
2,OK,0,5,-,2026-05-11T00:22:11+00:00,2026-05-11T00:22:16+00:00
6,OK,0,5,-,2026-05-11T00:22:11+00:00,2026-05-11T00:22:16+00:00
7,OK,0,4,-,2026-05-11T00:22:16+00:00,2026-05-11T00:22:20+00:00
9,OK,0,4,-,2026-05-11T00:22:16+00:00,2026-05-11T00:22:20+00:00
10,OK,0,5,-,2026-05-11T00:22:20+00:00,2026-05-11T00:22:25+00:00
3,CRASH,137,15,exit_137,2026-05-11T00:22:11+00:00,2026-05-11T00:22:26+00:00
1,CRASH,137,15,exit_137,2026-05-11T00:22:11+00:00,2026-05-11T00:22:26+00:00
5,CRASH,137,15,exit_137,2026-05-11T00:22:11+00:00,2026-05-11T00:22:26+00:00
8,CRASH,137,15,exit_137,2026-05-11T00:22:16+00:00,2026-05-11T00:22:31+00:00
15,OK,0,5,-,2026-05-11T00:22:26+00:00,2026-05-11T00:22:31+00:00
11,CRASH,137,15,exit_137,2026-05-11T00:22:21+00:00,2026-05-11T00:22:36+00:00
16,OK,0,5,-,2026-05-11T00:22:31+00:00,2026-05-11T00:22:36+00:00
12,CRASH,137,15,exit_137,2026-05-11T00:22:25+00:00,2026-05-11T00:22:40+00:00
19,OK,0,4,-,2026-05-11T00:22:36+00:00,2026-05-11T00:22:40+00:00
13,CRASH,137,15,exit_137,2026-05-11T00:22:26+00:00,2026-05-11T00:22:41+00:00
14,CRASH,137,15,exit_137,2026-05-11T00:22:26+00:00,2026-05-11T00:22:41+00:00
17,CRASH,137,15,exit_137,2026-05-11T00:22:31+00:00,2026-05-11T00:22:46+00:00
21,OK,0,6,-,2026-05-11T00:22:40+00:00,2026-05-11T00:22:46+00:00
22,OK,0,6,-,2026-05-11T00:22:41+00:00,2026-05-11T00:22:47+00:00
26,OK,0,3,-,2026-05-11T00:22:47+00:00,2026-05-11T00:22:50+00:00
18,CRASH,137,15,exit_137,2026-05-11T00:22:36+00:00,2026-05-11T00:22:51+00:00
24,OK,0,5,-,2026-05-11T00:22:46+00:00,2026-05-11T00:22:51+00:00
25,OK,0,5,-,2026-05-11T00:22:46+00:00,2026-05-11T00:22:51+00:00
20,CRASH,137,15,exit_137,2026-05-11T00:22:40+00:00,2026-05-11T00:22:55+00:00
29,OK,0,5,-,2026-05-11T00:22:51+00:00,2026-05-11T00:22:56+00:00
23,CRASH,137,15,exit_137,2026-05-11T00:22:41+00:00,2026-05-11T00:22:56+00:00
27,CRASH,137,15,exit_137,2026-05-11T00:22:50+00:00,2026-05-11T00:23:05+00:00
28,CRASH,137,15,exit_137,2026-05-11T00:22:51+00:00,2026-05-11T00:23:06+00:00
30,CRASH,137,15,exit_137,2026-05-11T00:22:51+00:00,2026-05-11T00:23:06+00:00
31,CRASH,137,15,exit_137,2026-05-11T00:22:55+00:00,2026-05-11T00:23:10+00:00
32,CRASH,137,15,exit_137,2026-05-11T00:22:56+00:00,2026-05-11T00:23:11+00:00
33,CRASH,137,15,exit_137,2026-05-11T00:22:56+00:00,2026-05-11T00:23:11+00:00
37,OK,0,5,-,2026-05-11T00:23:10+00:00,2026-05-11T00:23:15+00:00
34,CRASH,137,15,exit_137,2026-05-11T00:23:05+00:00,2026-05-11T00:23:20+00:00
35,CRASH,137,15,exit_137,2026-05-11T00:23:06+00:00,2026-05-11T00:23:21+00:00
36,CRASH,137,15,exit_137,2026-05-11T00:23:06+00:00,2026-05-11T00:23:21+00:00
38,CRASH,137,15,exit_137,2026-05-11T00:23:11+00:00,2026-05-11T00:23:26+00:00
39,CRASH,137,15,exit_137,2026-05-11T00:23:11+00:00,2026-05-11T00:23:26+00:00
40,CRASH,137,15,exit_137,2026-05-11T00:23:15+00:00,2026-05-11T00:23:30+00:00
