stat,value,pct,cum_pct
simSeconds,5.5e-05,,
simTicks,55246000.0,,
finalTick,55246000.0,,
simFreq,1000000000000.0,,
hostSeconds,1.73,,
hostTickRate,31942524.0,,
hostMemory,8528180.0,,
simInsts,92133.0,,
simOps,92133.0,,
hostInstRate,53268.0,,
hostOpRate,53268.0,,
system.chaos.numFaultsInjected,372.0,,
system.chaos.numBitFlips,372.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,55247.0,,
system.cpu.cpi,0.599644,,
system.cpu.ipc,1.667656,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,95692.0,,
system.cpu.nonSpecInstsAdded,22.0,,
system.cpu.instsIssued,102739.0,,
system.cpu.squashedInstsIssued,102.0,,
system.cpu.squashedInstsExamined,3471.0,,
system.cpu.squashedOperandsExamined,1697.0,,
system.cpu.squashedNonSpecRemoved,9.0,,
system.cpu.numIssuedDist::samples,54524.0,,
system.cpu.numIssuedDist::mean,1.884289,,
system.cpu.numIssuedDist::stdev,2.400957,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,27060.0,49.63,49.63
system.cpu.numIssuedDist::1,4926.0,9.03,58.66
system.cpu.numIssuedDist::2,5359.0,9.83,68.49
system.cpu.numIssuedDist::3,3296.0,6.05,74.54
system.cpu.numIssuedDist::4,3636.0,6.67,81.21
system.cpu.numIssuedDist::5,3297.0,6.05,87.25
system.cpu.numIssuedDist::6,3898.0,7.15,94.4
system.cpu.numIssuedDist::7,1626.0,2.98,97.38
system.cpu.numIssuedDist::8,1426.0,2.62,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,54524.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,423.0,20.56,20.56
system.cpu.statFuBusy::IntMult,0.0,0.0,20.56
system.cpu.statFuBusy::IntDiv,0.0,0.0,20.56
system.cpu.statFuBusy::ByteMult,0.0,0.0,20.56
system.cpu.statFuBusy::ByteDiv,0.0,0.0,20.56
system.cpu.statFuBusy::FloatAdd,0.0,0.0,20.56
system.cpu.statFuBusy::FloatCmp,0.0,0.0,20.56
system.cpu.statFuBusy::FloatCvt,0.0,0.0,20.56
system.cpu.statFuBusy::FloatMult,0.0,0.0,20.56
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,20.56
system.cpu.statFuBusy::FloatDiv,0.0,0.0,20.56
system.cpu.statFuBusy::FloatMisc,0.0,0.0,20.56
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,20.56
system.cpu.statFuBusy::SimdAdd,0.0,0.0,20.56
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdAlu,0.0,0.0,20.56
system.cpu.statFuBusy::SimdCmp,0.0,0.0,20.56
system.cpu.statFuBusy::SimdCvt,0.0,0.0,20.56
system.cpu.statFuBusy::SimdMisc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdMult,0.0,0.0,20.56
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdShift,0.0,0.0,20.56
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdDiv,0.0,0.0,20.56
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,20.56
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,20.56
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,20.56
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,20.56
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,20.56
system.cpu.statFuBusy::SimdAes,0.0,0.0,20.56
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,20.56
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,20.56
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,20.56
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,20.56
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,20.56
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,20.56
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,20.56
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,20.56
system.cpu.statFuBusy::Matrix,0.0,0.0,20.56
system.cpu.statFuBusy::MatrixMov,0.0,0.0,20.56
system.cpu.statFuBusy::MatrixOP,0.0,0.0,20.56
system.cpu.statFuBusy::MemRead,1629.0,79.19,99.76
