run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:49+00:00,2026-05-10T02:17:51+00:00
2,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:49+00:00,2026-05-10T02:17:51+00:00
3,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:51+00:00,2026-05-10T02:17:53+00:00
4,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:51+00:00,2026-05-10T02:17:53+00:00
6,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:53+00:00,2026-05-10T02:17:55+00:00
7,OK,0,2,-,2026-05-10T02:17:53+00:00,2026-05-10T02:17:55+00:00
9,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:55+00:00,2026-05-10T02:17:57+00:00
8,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:55+00:00,2026-05-10T02:17:57+00:00
10,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:17:55+00:00,2026-05-10T02:17:57+00:00
5,CRASH,137,30,exit_137,2026-05-10T02:17:51+00:00,2026-05-10T02:18:21+00:00
