Tick: 72544000, Cache Block Addr: 99136, Byte Offset: 50, FaultType: bit_flip, Mask: 00000001
Tick: 94107000, Cache Block Addr: 123328, Byte Offset: 6, FaultType: bit_flip, Mask: 00100000
Tick: 114724000, Cache Block Addr: 66944, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 128055000, Cache Block Addr: 84096, Byte Offset: 36, FaultType: bit_flip, Mask: 00000010
Tick: 187519000, Cache Block Addr: 91264, Byte Offset: 45, FaultType: bit_flip, Mask: 10000000
Tick: 189375000, Cache Block Addr: 72896, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 203769000, Cache Block Addr: 99584, Byte Offset: 42, FaultType: bit_flip, Mask: 00000100
Tick: 213834000, Cache Block Addr: 116544, Byte Offset: 9, FaultType: bit_flip, Mask: 00100000
Tick: 268823000, Cache Block Addr: 97280, Byte Offset: 24, FaultType: bit_flip, Mask: 00010000
Tick: 293806000, Cache Block Addr: 117760, Byte Offset: 48, FaultType: bit_flip, Mask: 00001000
Tick: 306272000, Cache Block Addr: 83776, Byte Offset: 11, FaultType: bit_flip, Mask: 00000100
Tick: 325522000, Cache Block Addr: 104768, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 336820000, Cache Block Addr: 113984, Byte Offset: 29, FaultType: bit_flip, Mask: 00001000
