
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000068                       # Number of seconds simulated (Second)
simTicks                                     68385000                       # Number of ticks simulated (Tick)
finalTick                                    68385000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.30                       # Real time elapsed on the host (Second)
hostTickRate                                 29795945                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529200                       # Number of bytes of host memory used (Byte)
simInsts                                       116834                       # Number of instructions simulated (Count)
simOps                                         116834                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    50904                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      50904                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                   1762                       # Total number of faults injected (Count)
system.chaos.numBitFlips                         1762                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            68386                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.585326                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.708449                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          120652                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       25                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         129828                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    105                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 3810                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1852                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               67663                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.918744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.413933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     33081     48.89%     48.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      6127      9.06%     57.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      6799     10.05%     67.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      4116      6.08%     74.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      4478      6.62%     80.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4207      6.22%     86.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4974      7.35%     94.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2084      3.08%     97.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1797      2.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 67663                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     517     19.91%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     19.91% # attempts to use FU when none available (Count)
