stat,value,pct,cum_pct
simSeconds,7.8e-05,,
simTicks,78327000.0,,
finalTick,78327000.0,,
simFreq,1000000000000.0,,
hostSeconds,2.46,,
hostTickRate,31865361.0,,
hostMemory,8529292.0,,
simInsts,134408.0,,
simOps,134408.0,,
hostInstRate,54679.0,,
hostOpRate,54679.0,,
system.chaos.numFaultsInjected,292.0,,
system.chaos.numBitFlips,292.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,78328.0,,
system.cpu.cpi,0.582763,,
system.cpu.ipc,1.715964,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,138516.0,,
system.cpu.nonSpecInstsAdded,27.0,,
system.cpu.instsIssued,149184.0,,
system.cpu.squashedInstsIssued,107.0,,
system.cpu.squashedInstsExamined,4102.0,,
system.cpu.squashedOperandsExamined,1986.0,,
system.cpu.squashedNonSpecRemoved,9.0,,
system.cpu.numIssuedDist::samples,77605.0,,
system.cpu.numIssuedDist::mean,1.92235,,
system.cpu.numIssuedDist::stdev,2.41723,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,37937.0,48.88,48.88
system.cpu.numIssuedDist::1,6989.0,9.01,57.89
system.cpu.numIssuedDist::2,7823.0,10.08,67.97
system.cpu.numIssuedDist::3,4701.0,6.06,74.03
system.cpu.numIssuedDist::4,5084.0,6.55,80.58
system.cpu.numIssuedDist::5,4857.0,6.26,86.84
system.cpu.numIssuedDist::6,5737.0,7.39,94.23
system.cpu.numIssuedDist::7,2413.0,3.11,97.34
system.cpu.numIssuedDist::8,2064.0,2.66,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,77605.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,585.0,19.62,19.62
system.cpu.statFuBusy::IntMult,0.0,0.0,19.62
system.cpu.statFuBusy::IntDiv,0.0,0.0,19.62
system.cpu.statFuBusy::ByteMult,0.0,0.0,19.62
system.cpu.statFuBusy::ByteDiv,0.0,0.0,19.62
system.cpu.statFuBusy::FloatAdd,0.0,0.0,19.62
system.cpu.statFuBusy::FloatCmp,0.0,0.0,19.62
system.cpu.statFuBusy::FloatCvt,0.0,0.0,19.62
system.cpu.statFuBusy::FloatMult,0.0,0.0,19.62
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,19.62
system.cpu.statFuBusy::FloatDiv,0.0,0.0,19.62
system.cpu.statFuBusy::FloatMisc,0.0,0.0,19.62
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,19.62
system.cpu.statFuBusy::SimdAdd,0.0,0.0,19.62
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdAlu,0.0,0.0,19.62
system.cpu.statFuBusy::SimdCmp,0.0,0.0,19.62
system.cpu.statFuBusy::SimdCvt,0.0,0.0,19.62
system.cpu.statFuBusy::SimdMisc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdMult,0.0,0.0,19.62
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdShift,0.0,0.0,19.62
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdDiv,0.0,0.0,19.62
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,19.62
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,19.62
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,19.62
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,19.62
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,19.62
system.cpu.statFuBusy::SimdAes,0.0,0.0,19.62
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,19.62
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,19.62
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,19.62
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,19.62
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,19.62
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,19.62
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,19.62
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,19.62
system.cpu.statFuBusy::Matrix,0.0,0.0,19.62
system.cpu.statFuBusy::MatrixMov,0.0,0.0,19.62
system.cpu.statFuBusy::MatrixOP,0.0,0.0,19.62
system.cpu.statFuBusy::MemRead,2391.0,80.21,99.83
system.cpu.statFuBusy::MemWrite,5.0,0.17,100.0
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,100.0
system.cpu.statFuBusy::FloatMemWrite,0.0,0.0,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorMisc,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerExtension,0.0,0.0,100.0
system.cpu.statFuBusy::VectorConfig,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::No_OpClass,17.0,0.01,0.01
system.cpu.statIssuedInstType_0::IntAlu,100245.0,67.2,67.21
system.cpu.statIssuedInstType_0::IntMult,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::IntDiv,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::ByteMult,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::ByteDiv,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatAdd,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatCmp,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatCvt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatMult,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatMultAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatDiv,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatMisc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::FloatSqrt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdAdd,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdAddAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdAlu,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdCmp,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdCvt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdMisc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdMult,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdMultAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdMatMultAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdShift,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdShiftAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdDiv,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdSqrt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatAdd,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatAlu,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatCmp,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatCvt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatDiv,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatMisc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatMult,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatMultAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatMatMultAcc,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatSqrt,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdReduceAdd,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdReduceAlu,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdReduceCmp,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdAes,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdAesMix,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdSha1Hash,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdSha1Hash2,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdSha256Hash,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdSha256Hash2,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdShaSigma2,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdShaSigma3,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::SimdPredAlu,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::Matrix,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::MatrixMov,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::MatrixOP,0.0,0.0,67.21
system.cpu.statIssuedInstType_0::MemRead,31789.0,21.31,88.52
system.cpu.statIssuedInstType_0::MemWrite,17133.0,11.48,100.0
system.cpu.statIssuedInstType_0::FloatMemRead,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::FloatMemWrite,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::IprAccess,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::InstPrefetch,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorStridedStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statIssuedInstType_0::VectorWholeRegisterLoad,0.0,0.0,100.0
