Tick: 83268000, Cache Block Addr: 117184, Byte Offset: 21, FaultType: bit_flip, Mask: 10000000
Tick: 118333000, Cache Block Addr: 68416, Byte Offset: 23, FaultType: bit_flip, Mask: 00100000
Tick: 118466000, Cache Block Addr: 87424, Byte Offset: 21, FaultType: bit_flip, Mask: 10000000
Tick: 135973000, Cache Block Addr: 109696, Byte Offset: 53, FaultType: bit_flip, Mask: 00000001
Tick: 140598000, Cache Block Addr: 101760, Byte Offset: 56, FaultType: bit_flip, Mask: 00000100
Tick: 154735000, Cache Block Addr: 104960, Byte Offset: 12, FaultType: bit_flip, Mask: 00000100
Tick: 163138000, Cache Block Addr: 112192, Byte Offset: 20, FaultType: bit_flip, Mask: 00000100
Tick: 166063000, Cache Block Addr: 76224, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 172566000, Cache Block Addr: 121216, Byte Offset: 53, FaultType: bit_flip, Mask: 00010000
Tick: 174338000, Cache Block Addr: 70528, Byte Offset: 62, FaultType: bit_flip, Mask: 00001000
Tick: 194795000, Cache Block Addr: 90048, Byte Offset: 6, FaultType: bit_flip, Mask: 00010000
Tick: 199779000, Cache Block Addr: 83200, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 223410000, Cache Block Addr: 111872, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
Tick: 226454000, Cache Block Addr: 69888, Byte Offset: 19, FaultType: bit_flip, Mask: 00001000
Tick: 233166000, Cache Block Addr: 63360, Byte Offset: 6, FaultType: bit_flip, Mask: 00000010
Tick: 234400000, Cache Block Addr: 120128, Byte Offset: 44, FaultType: bit_flip, Mask: 01000000
Tick: 245730000, Cache Block Addr: 71552, Byte Offset: 52, FaultType: bit_flip, Mask: 00000010
Tick: 250259000, Cache Block Addr: 77248, Byte Offset: 24, FaultType: bit_flip, Mask: 00001000
Tick: 253028000, Cache Block Addr: 72256, Byte Offset: 1, FaultType: bit_flip, Mask: 00000100
Tick: 254620000, Cache Block Addr: 98816, Byte Offset: 37, FaultType: bit_flip, Mask: 01000000
Tick: 256018000, Cache Block Addr: 83840, Byte Offset: 1, FaultType: bit_flip, Mask: 00010000
Tick: 289942000, Cache Block Addr: 65536, Byte Offset: 56, FaultType: bit_flip, Mask: 01000000
Tick: 298219000, Cache Block Addr: 79616, Byte Offset: 3, FaultType: bit_flip, Mask: 00000001
Tick: 308620000, Cache Block Addr: 72000, Byte Offset: 4, FaultType: bit_flip, Mask: 00010000
Tick: 308980000, Cache Block Addr: 92800, Byte Offset: 60, FaultType: bit_flip, Mask: 00000100
Tick: 309209000, Cache Block Addr: 86528, Byte Offset: 39, FaultType: bit_flip, Mask: 00010000
Tick: 318852000, Cache Block Addr: 79168, Byte Offset: 35, FaultType: bit_flip, Mask: 01000000
Tick: 323820000, Cache Block Addr: 84544, Byte Offset: 57, FaultType: bit_flip, Mask: 00100000
Tick: 336254000, Cache Block Addr: 88960, Byte Offset: 12, FaultType: bit_flip, Mask: 00000001
Tick: 336587000, Cache Block Addr: 94912, Byte Offset: 37, FaultType: bit_flip, Mask: 00010000
Tick: 337554000, Cache Block Addr: 91712, Byte Offset: 24, FaultType: bit_flip, Mask: 00100000
