run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:08+00:00,2026-05-11T00:37:10+00:00
2,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:09+00:00,2026-05-11T00:37:11+00:00
3,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:09+00:00,2026-05-11T00:37:12+00:00
4,OK,0,3,-,2026-05-11T00:37:10+00:00,2026-05-11T00:37:13+00:00
5,OK,0,2,-,2026-05-11T00:37:11+00:00,2026-05-11T00:37:13+00:00
6,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:11+00:00,2026-05-11T00:37:13+00:00
8,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:13+00:00,2026-05-11T00:37:15+00:00
10,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:13+00:00,2026-05-11T00:37:16+00:00
11,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:15+00:00,2026-05-11T00:37:17+00:00
12,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:16+00:00,2026-05-11T00:37:18+00:00
13,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:16+00:00,2026-05-11T00:37:18+00:00
14,OK,0,3,-,2026-05-11T00:37:17+00:00,2026-05-11T00:37:20+00:00
15,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:18+00:00,2026-05-11T00:37:20+00:00
16,OK,0,2,-,2026-05-11T00:37:18+00:00,2026-05-11T00:37:20+00:00
17,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:20+00:00,2026-05-11T00:37:22+00:00
19,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:20+00:00,2026-05-11T00:37:22+00:00
21,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:22+00:00,2026-05-11T00:37:24+00:00
20,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:22+00:00,2026-05-11T00:37:24+00:00
22,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:23+00:00,2026-05-11T00:37:26+00:00
7,CRASH,137,15,exit_137,2026-05-11T00:37:12+00:00,2026-05-11T00:37:27+00:00
24,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:24+00:00,2026-05-11T00:37:27+00:00
25,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:26+00:00,2026-05-11T00:37:28+00:00
9,CRASH,137,15,exit_137,2026-05-11T00:37:13+00:00,2026-05-11T00:37:28+00:00
26,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:27+00:00,2026-05-11T00:37:29+00:00
27,OK,0,3,-,2026-05-11T00:37:27+00:00,2026-05-11T00:37:30+00:00
28,OK,0,2,-,2026-05-11T00:37:28+00:00,2026-05-11T00:37:30+00:00
29,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:28+00:00,2026-05-11T00:37:31+00:00
30,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:29+00:00,2026-05-11T00:37:31+00:00
31,OK,0,2,-,2026-05-11T00:37:30+00:00,2026-05-11T00:37:32+00:00
32,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:37:30+00:00,2026-05-11T00:37:33+00:00
34,OK,0,3,-,2026-05-11T00:37:31+00:00,2026-05-11T00:37:34+00:00
35,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:32+00:00,2026-05-11T00:37:34+00:00
36,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:33+00:00,2026-05-11T00:37:35+00:00
18,CRASH,137,15,exit_137,2026-05-11T00:37:20+00:00,2026-05-11T00:37:35+00:00
37,OK,0,2,-,2026-05-11T00:37:34+00:00,2026-05-11T00:37:36+00:00
38,OK,0,2,-,2026-05-11T00:37:34+00:00,2026-05-11T00:37:36+00:00
39,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:35+00:00,2026-05-11T00:37:37+00:00
40,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:37:35+00:00,2026-05-11T00:37:37+00:00
23,CRASH,137,15,exit_137,2026-05-11T00:37:24+00:00,2026-05-11T00:37:39+00:00
33,CRASH,137,15,exit_137,2026-05-11T00:37:31+00:00,2026-05-11T00:37:46+00:00
