Tick: 52453000, Cache Block Addr: 85568, Byte Offset: 54, FaultType: bit_flip, Mask: 00001000
Tick: 52799000, Cache Block Addr: 77568, Byte Offset: 12, FaultType: bit_flip, Mask: 00010000
Tick: 55280000, Cache Block Addr: 87872, Byte Offset: 28, FaultType: bit_flip, Mask: 01000000
Tick: 57530000, Cache Block Addr: 96704, Byte Offset: 27, FaultType: bit_flip, Mask: 00001000
Tick: 57834000, Cache Block Addr: 96896, Byte Offset: 27, FaultType: bit_flip, Mask: 00000100
Tick: 57926000, Cache Block Addr: 92480, Byte Offset: 4, FaultType: bit_flip, Mask: 00000010
Tick: 58699000, Cache Block Addr: 86400, Byte Offset: 37, FaultType: bit_flip, Mask: 00000010
Tick: 58768000, Cache Block Addr: 90496, Byte Offset: 14, FaultType: bit_flip, Mask: 01000000
Tick: 59273000, Cache Block Addr: 73856, Byte Offset: 35, FaultType: bit_flip, Mask: 00010000
Tick: 60810000, Cache Block Addr: 93248, Byte Offset: 33, FaultType: bit_flip, Mask: 01000000
Tick: 63070000, Cache Block Addr: 82240, Byte Offset: 29, FaultType: bit_flip, Mask: 00100000
Tick: 67378000, Cache Block Addr: 88704, Byte Offset: 9, FaultType: bit_flip, Mask: 00000001
Tick: 67381000, Cache Block Addr: 89600, Byte Offset: 8, FaultType: bit_flip, Mask: 00010000
Tick: 68266000, Cache Block Addr: 94464, Byte Offset: 29, FaultType: bit_flip, Mask: 00010000
Tick: 70817000, Cache Block Addr: 113792, Byte Offset: 22, FaultType: bit_flip, Mask: 00001000
Tick: 71252000, Cache Block Addr: 102336, Byte Offset: 39, FaultType: bit_flip, Mask: 10000000
Tick: 73173000, Cache Block Addr: 100608, Byte Offset: 4, FaultType: bit_flip, Mask: 00001000
Tick: 73599000, Cache Block Addr: 109504, Byte Offset: 46, FaultType: bit_flip, Mask: 00001000
Tick: 74400000, Cache Block Addr: 104448, Byte Offset: 11, FaultType: bit_flip, Mask: 00000100
Tick: 75312000, Cache Block Addr: 117504, Byte Offset: 4, FaultType: bit_flip, Mask: 10000000
Tick: 78321000, Cache Block Addr: 54848, Byte Offset: 17, FaultType: bit_flip, Mask: 01000000
Tick: 79629000, Cache Block Addr: 93312, Byte Offset: 54, FaultType: bit_flip, Mask: 00000100
Tick: 80688000, Cache Block Addr: 103744, Byte Offset: 25, FaultType: bit_flip, Mask: 00000010
Tick: 81010000, Cache Block Addr: 93440, Byte Offset: 56, FaultType: bit_flip, Mask: 00000010
Tick: 82809000, Cache Block Addr: 119872, Byte Offset: 25, FaultType: bit_flip, Mask: 00000010
Tick: 83246000, Cache Block Addr: 108992, Byte Offset: 45, FaultType: bit_flip, Mask: 00010000
Tick: 83819000, Cache Block Addr: 121408, Byte Offset: 17, FaultType: bit_flip, Mask: 00000100
Tick: 85495000, Cache Block Addr: 111232, Byte Offset: 14, FaultType: bit_flip, Mask: 01000000
Tick: 86366000, Cache Block Addr: 125184, Byte Offset: 37, FaultType: bit_flip, Mask: 00100000
Tick: 86627000, Cache Block Addr: 102720, Byte Offset: 1, FaultType: bit_flip, Mask: 00000100
Tick: 87716000, Cache Block Addr: 63040, Byte Offset: 1, FaultType: bit_flip, Mask: 00100000
Tick: 88099000, Cache Block Addr: 113152, Byte Offset: 4, FaultType: bit_flip, Mask: 00010000
Tick: 88524000, Cache Block Addr: 63040, Byte Offset: 40, FaultType: bit_flip, Mask: 00100000
Tick: 88786000, Cache Block Addr: 62016, Byte Offset: 7, FaultType: bit_flip, Mask: 10000000
Tick: 89143000, Cache Block Addr: 108224, Byte Offset: 37, FaultType: bit_flip, Mask: 00000001
Tick: 89329000, Cache Block Addr: 106112, Byte Offset: 41, FaultType: bit_flip, Mask: 00000100
Tick: 91346000, Cache Block Addr: 124544, Byte Offset: 46, FaultType: bit_flip, Mask: 00001000
Tick: 92495000, Cache Block Addr: 120896, Byte Offset: 45, FaultType: bit_flip, Mask: 00001000
Tick: 93309000, Cache Block Addr: 65600, Byte Offset: 40, FaultType: bit_flip, Mask: 00100000
Tick: 93622000, Cache Block Addr: 66048, Byte Offset: 18, FaultType: bit_flip, Mask: 00000100
Tick: 94681000, Cache Block Addr: 63680, Byte Offset: 60, FaultType: bit_flip, Mask: 00100000
Tick: 95155000, Cache Block Addr: 116608, Byte Offset: 18, FaultType: bit_flip, Mask: 00100000
