stat,value,pct,cum_pct
simSeconds,0.000129,,
simTicks,129087000.0,,
finalTick,129087000.0,,
simFreq,1000000000000.0,,
hostSeconds,3.21,,
hostTickRate,40209897.0,,
hostMemory,8529200.0,,
simInsts,161561.0,,
simOps,161561.0,,
hostInstRate,50324.0,,
hostOpRate,50324.0,,
system.chaos.numFaultsInjected,70.0,,
system.chaos.numBitFlips,70.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,129088.0,,
system.cpu.cpi,0.799005,,
system.cpu.ipc,1.251557,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,168362.0,,
system.cpu.nonSpecInstsAdded,40.0,,
system.cpu.instsIssued,179699.0,,
system.cpu.squashedInstsIssued,195.0,,
system.cpu.squashedInstsExamined,6840.0,,
system.cpu.squashedOperandsExamined,3594.0,,
system.cpu.squashedNonSpecRemoved,14.0,,
system.cpu.numIssuedDist::samples,126020.0,,
system.cpu.numIssuedDist::mean,1.425956,,
system.cpu.numIssuedDist::stdev,2.169746,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,74476.0,59.1,59.1
system.cpu.numIssuedDist::1,11319.0,8.98,68.08
system.cpu.numIssuedDist::2,8963.0,7.11,75.19
system.cpu.numIssuedDist::3,9225.0,7.32,82.51
system.cpu.numIssuedDist::4,5596.0,4.44,86.95
system.cpu.numIssuedDist::5,5351.0,4.25,91.2
system.cpu.numIssuedDist::6,6224.0,4.94,96.14
system.cpu.numIssuedDist::7,2632.0,2.09,98.23
system.cpu.numIssuedDist::8,2234.0,1.77,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,126020.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,629.0,18.67,18.67
system.cpu.statFuBusy::IntMult,0.0,0.0,18.67
system.cpu.statFuBusy::IntDiv,0.0,0.0,18.67
system.cpu.statFuBusy::ByteMult,0.0,0.0,18.67
system.cpu.statFuBusy::ByteDiv,0.0,0.0,18.67
system.cpu.statFuBusy::FloatAdd,0.0,0.0,18.67
system.cpu.statFuBusy::FloatCmp,0.0,0.0,18.67
system.cpu.statFuBusy::FloatCvt,0.0,0.0,18.67
