stat,value,pct,cum_pct
simSeconds,0.001461,,
simTicks,1461006000.0,,
finalTick,1461006000.0,,
simFreq,1000000000000.0,,
hostSeconds,27.41,,
hostTickRate,53299503.0,,
hostMemory,8529620.0,,
simInsts,836902.0,,
simOps,836908.0,,
hostInstRate,30531.0,,
hostOpRate,30531.0,,
system.chaos.numFaultsInjected,114.0,,
system.chaos.numBitFlips,114.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,1461007.0,,
system.cpu.cpi,1.745732,,
system.cpu.ipc,0.572825,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,908322.0,,
system.cpu.nonSpecInstsAdded,2154.0,,
system.cpu.instsIssued,896325.0,,
system.cpu.squashedInstsIssued,1762.0,,
system.cpu.squashedInstsExamined,73567.0,,
system.cpu.squashedOperandsExamined,37465.0,,
system.cpu.squashedNonSpecRemoved,2105.0,,
system.cpu.numIssuedDist::samples,1455670.0,,
system.cpu.numIssuedDist::mean,0.615747,,
system.cpu.numIssuedDist::stdev,1.476378,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,1100839.0,75.62,75.62
system.cpu.numIssuedDist::1,172305.0,11.84,87.46
system.cpu.numIssuedDist::2,49187.0,3.38,90.84
system.cpu.numIssuedDist::3,53090.0,3.65,94.49
system.cpu.numIssuedDist::4,21460.0,1.47,95.96
system.cpu.numIssuedDist::5,13834.0,0.95,96.91
system.cpu.numIssuedDist::6,17868.0,1.23,98.14
system.cpu.numIssuedDist::7,12538.0,0.86,99.0
system.cpu.numIssuedDist::8,14549.0,1.0,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,1455670.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
