Tick: 56787000, Cache Block Addr: 409728, Byte Offset: 48, FaultType: bit_flip, Mask: 00001000
Tick: 63967000, Cache Block Addr: 478464, Byte Offset: 47, FaultType: bit_flip, Mask: 00000100
Tick: 66955000, Cache Block Addr: 473856, Byte Offset: 1, FaultType: bit_flip, Mask: 00010000
Tick: 74347000, Cache Block Addr: 481344, Byte Offset: 24, FaultType: bit_flip, Mask: 00000010
Tick: 91062000, Cache Block Addr: 458624, Byte Offset: 19, FaultType: bit_flip, Mask: 10000000
Tick: 94903000, Cache Block Addr: 451584, Byte Offset: 46, FaultType: bit_flip, Mask: 00100000
Tick: 98278000, Cache Block Addr: 470208, Byte Offset: 48, FaultType: bit_flip, Mask: 00000100
Tick: 115209000, Cache Block Addr: 468160, Byte Offset: 9, FaultType: bit_flip, Mask: 00000010
Tick: 127047000, Cache Block Addr: 486144, Byte Offset: 52, FaultType: bit_flip, Mask: 01000000
Tick: 147044000, Cache Block Addr: 475648, Byte Offset: 58, FaultType: bit_flip, Mask: 10000000
Tick: 150282000, Cache Block Addr: 495296, Byte Offset: 28, FaultType: bit_flip, Mask: 00000001
Tick: 157835000, Cache Block Addr: 508800, Byte Offset: 62, FaultType: bit_flip, Mask: 00000010
Tick: 185551000, Cache Block Addr: 518720, Byte Offset: 23, FaultType: bit_flip, Mask: 00000100
Tick: 204886000, Cache Block Addr: 517696, Byte Offset: 41, FaultType: bit_flip, Mask: 00100000
Tick: 230333000, Cache Block Addr: 523968, Byte Offset: 40, FaultType: bit_flip, Mask: 00000001
Tick: 233461000, Cache Block Addr: 508032, Byte Offset: 7, FaultType: bit_flip, Mask: 10000000
Tick: 242551000, Cache Block Addr: 478656, Byte Offset: 20, FaultType: bit_flip, Mask: 00000100
Tick: 252204000, Cache Block Addr: 488960, Byte Offset: 50, FaultType: bit_flip, Mask: 10000000
Tick: 257957000, Cache Block Addr: 479424, Byte Offset: 41, FaultType: bit_flip, Mask: 00100000
Tick: 258140000, Cache Block Addr: 480064, Byte Offset: 1, FaultType: bit_flip, Mask: 00001000
Tick: 258696000, Cache Block Addr: 476416, Byte Offset: 8, FaultType: bit_flip, Mask: 00010000
Tick: 268116000, Cache Block Addr: 478976, Byte Offset: 28, FaultType: bit_flip, Mask: 01000000
Tick: 309096000, Cache Block Addr: 520640, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 310443000, Cache Block Addr: 525824, Byte Offset: 58, FaultType: bit_flip, Mask: 10000000
Tick: 313476000, Cache Block Addr: 475584, Byte Offset: 33, FaultType: bit_flip, Mask: 00100000
Tick: 323487000, Cache Block Addr: 471936, Byte Offset: 41, FaultType: bit_flip, Mask: 00010000
Tick: 325887000, Cache Block Addr: 530560, Byte Offset: 33, FaultType: bit_flip, Mask: 00001000
Tick: 335889000, Cache Block Addr: 491392, Byte Offset: 47, FaultType: bit_flip, Mask: 10000000
Tick: 339496000, Cache Block Addr: 482944, Byte Offset: 8, FaultType: bit_flip, Mask: 01000000
Tick: 352575000, Cache Block Addr: 487040, Byte Offset: 50, FaultType: bit_flip, Mask: 00000010
Tick: 353500000, Cache Block Addr: 498112, Byte Offset: 13, FaultType: bit_flip, Mask: 00010000
Tick: 355606000, Cache Block Addr: 481536, Byte Offset: 54, FaultType: bit_flip, Mask: 00000001
Tick: 385751000, Cache Block Addr: 524416, Byte Offset: 22, FaultType: bit_flip, Mask: 00000001
Tick: 386068000, Cache Block Addr: 526528, Byte Offset: 6, FaultType: bit_flip, Mask: 01000000
Tick: 404630000, Cache Block Addr: 532032, Byte Offset: 47, FaultType: bit_flip, Mask: 00010000
Tick: 473723000, Cache Block Addr: 477760, Byte Offset: 36, FaultType: bit_flip, Mask: 00000001
Tick: 473863000, Cache Block Addr: 519296, Byte Offset: 6, FaultType: bit_flip, Mask: 00000010
Tick: 474316000, Cache Block Addr: 468352, Byte Offset: 24, FaultType: bit_flip, Mask: 00000010
Tick: 476103000, Cache Block Addr: 523840, Byte Offset: 13, FaultType: bit_flip, Mask: 01000000
Tick: 479822000, Cache Block Addr: 525120, Byte Offset: 15, FaultType: bit_flip, Mask: 00001000
Tick: 486715000, Cache Block Addr: 475584, Byte Offset: 36, FaultType: bit_flip, Mask: 00001000
Tick: 506947000, Cache Block Addr: 483456, Byte Offset: 10, FaultType: bit_flip, Mask: 00001000
Tick: 512870000, Cache Block Addr: 481664, Byte Offset: 58, FaultType: bit_flip, Mask: 10000000
Tick: 515953000, Cache Block Addr: 503808, Byte Offset: 40, FaultType: bit_flip, Mask: 00100000
Tick: 520986000, Cache Block Addr: 505344, Byte Offset: 43, FaultType: bit_flip, Mask: 10000000
Tick: 534832000, Cache Block Addr: 524096, Byte Offset: 13, FaultType: bit_flip, Mask: 00000100
Tick: 537259000, Cache Block Addr: 510336, Byte Offset: 6, FaultType: bit_flip, Mask: 10000000
Tick: 561854000, Cache Block Addr: 469312, Byte Offset: 47, FaultType: bit_flip, Mask: 01000000
Tick: 566672000, Cache Block Addr: 492672, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 601091000, Cache Block Addr: 520000, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 610276000, Cache Block Addr: 501056, Byte Offset: 30, FaultType: bit_flip, Mask: 10000000
Tick: 624521000, Cache Block Addr: 517696, Byte Offset: 15, FaultType: bit_flip, Mask: 01000000
Tick: 630727000, Cache Block Addr: 527936, Byte Offset: 18, FaultType: bit_flip, Mask: 01000000
Tick: 631549000, Cache Block Addr: 517504, Byte Offset: 18, FaultType: bit_flip, Mask: 00100000
Tick: 631869000, Cache Block Addr: 467200, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 632139000, Cache Block Addr: 482880, Byte Offset: 8, FaultType: bit_flip, Mask: 00010000
Tick: 632400000, Cache Block Addr: 484096, Byte Offset: 36, FaultType: bit_flip, Mask: 00000100
Tick: 642791000, Cache Block Addr: 492992, Byte Offset: 12, FaultType: bit_flip, Mask: 00010000
