Tick: 247828000, Cache Block Addr: 449408, Byte Offset: 59, FaultType: bit_flip, Mask: 00100000
Tick: 248346000, Cache Block Addr: 450368, Byte Offset: 10, FaultType: bit_flip, Mask: 01000000
Tick: 330758000, Cache Block Addr: 449344, Byte Offset: 60, FaultType: bit_flip, Mask: 01000000
Tick: 405726000, Cache Block Addr: 450688, Byte Offset: 50, FaultType: bit_flip, Mask: 00100000
Tick: 737954000, Cache Block Addr: 449024, Byte Offset: 3, FaultType: bit_flip, Mask: 01000000
Tick: 751960000, Cache Block Addr: 448896, Byte Offset: 14, FaultType: bit_flip, Mask: 00000100
Tick: 761687000, Cache Block Addr: 450112, Byte Offset: 54, FaultType: bit_flip, Mask: 00100000
Tick: 876226000, Cache Block Addr: 450432, Byte Offset: 41, FaultType: bit_flip, Mask: 00001000
Tick: 977890000, Cache Block Addr: 448896, Byte Offset: 18, FaultType: bit_flip, Mask: 00001000
Tick: 1104358000, Cache Block Addr: 450496, Byte Offset: 33, FaultType: bit_flip, Mask: 00100000
Tick: 1126177000, Cache Block Addr: 449088, Byte Offset: 58, FaultType: bit_flip, Mask: 01000000
Tick: 1131776000, Cache Block Addr: 449152, Byte Offset: 2, FaultType: bit_flip, Mask: 00100000
Tick: 1233478000, Cache Block Addr: 449728, Byte Offset: 10, FaultType: bit_flip, Mask: 00000010
Tick: 1269903000, Cache Block Addr: 449280, Byte Offset: 4, FaultType: bit_flip, Mask: 01000000
Tick: 1273254000, Cache Block Addr: 450624, Byte Offset: 55, FaultType: bit_flip, Mask: 00100000
Tick: 1278834000, Cache Block Addr: 449344, Byte Offset: 27, FaultType: bit_flip, Mask: 00000001
Tick: 1462173000, Cache Block Addr: 450112, Byte Offset: 4, FaultType: bit_flip, Mask: 10000000
Tick: 1491152000, Cache Block Addr: 449472, Byte Offset: 30, FaultType: bit_flip, Mask: 00000010
Tick: 1565523000, Cache Block Addr: 449216, Byte Offset: 7, FaultType: bit_flip, Mask: 00001000
Tick: 1576400000, Cache Block Addr: 450560, Byte Offset: 35, FaultType: bit_flip, Mask: 00010000
Tick: 1647977000, Cache Block Addr: 450112, Byte Offset: 46, FaultType: bit_flip, Mask: 00000100
Tick: 1788866000, Cache Block Addr: 450304, Byte Offset: 2, FaultType: bit_flip, Mask: 00010000
Tick: 1867996000, Cache Block Addr: 449600, Byte Offset: 12, FaultType: bit_flip, Mask: 00000001
Tick: 1941418000, Cache Block Addr: 450368, Byte Offset: 29, FaultType: bit_flip, Mask: 00000010
