stat,value,pct,cum_pct
simSeconds,0.000164,,
simTicks,164272000.0,,
finalTick,164272000.0,,
simFreq,1000000000000.0,,
hostSeconds,2.93,,
hostTickRate,56107600.0,,
hostMemory,8531532.0,,
simInsts,128204.0,,
simOps,128250.0,,
hostInstRate,43788.0,,
hostOpRate,43803.0,,
system.chaos.numFaultsInjected,0.0,,
system.chaos.numBitFlips,0.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,164275.0,,
system.cpu.cpi,1.281356,,
system.cpu.ipc,0.780423,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,151010.0,,
system.cpu.nonSpecInstsAdded,287.0,,
system.cpu.instsIssued,162216.0,,
system.cpu.squashedInstsIssued,1450.0,,
system.cpu.squashedInstsExamined,23046.0,,
system.cpu.squashedOperandsExamined,13809.0,,
system.cpu.squashedNonSpecRemoved,153.0,,
system.cpu.numIssuedDist::samples,153058.0,,
system.cpu.numIssuedDist::mean,1.059834,,
system.cpu.numIssuedDist::stdev,2.15392,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,113480.0,74.14,74.14
system.cpu.numIssuedDist::1,7610.0,4.97,79.11
system.cpu.numIssuedDist::2,5203.0,3.4,82.51
system.cpu.numIssuedDist::3,5478.0,3.58,86.09
system.cpu.numIssuedDist::4,3818.0,2.49,88.59
system.cpu.numIssuedDist::5,3495.0,2.28,90.87
system.cpu.numIssuedDist::6,6541.0,4.27,95.14
system.cpu.numIssuedDist::7,3691.0,2.41,97.56
system.cpu.numIssuedDist::8,3742.0,2.44,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,153058.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,5199.0,58.65,58.65
system.cpu.statFuBusy::IntMult,0.0,0.0,58.65
system.cpu.statFuBusy::IntDiv,0.0,0.0,58.65
system.cpu.statFuBusy::ByteMult,0.0,0.0,58.65
system.cpu.statFuBusy::ByteDiv,0.0,0.0,58.65
system.cpu.statFuBusy::FloatAdd,0.0,0.0,58.65
system.cpu.statFuBusy::FloatCmp,0.0,0.0,58.65
system.cpu.statFuBusy::FloatCvt,0.0,0.0,58.65
system.cpu.statFuBusy::FloatMult,0.0,0.0,58.65
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,58.65
system.cpu.statFuBusy::FloatDiv,0.0,0.0,58.65
system.cpu.statFuBusy::FloatMisc,0.0,0.0,58.65
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,58.65
system.cpu.statFuBusy::SimdAdd,0.0,0.0,58.65
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdAlu,0.0,0.0,58.65
system.cpu.statFuBusy::SimdCmp,0.0,0.0,58.65
system.cpu.statFuBusy::SimdCvt,0.0,0.0,58.65
system.cpu.statFuBusy::SimdMisc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdMult,0.0,0.0,58.65
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdShift,0.0,0.0,58.65
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdDiv,0.0,0.0,58.65
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,58.65
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,58.65
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,58.65
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,58.65
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,58.65
system.cpu.statFuBusy::SimdAes,0.0,0.0,58.65
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,58.65
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,58.65
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,58.65
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,58.65
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,58.65
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,58.65
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,58.65
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,58.65
system.cpu.statFuBusy::Matrix,0.0,0.0,58.65
system.cpu.statFuBusy::MatrixMov,0.0,0.0,58.65
system.cpu.statFuBusy::MatrixOP,0.0,0.0,58.65
system.cpu.statFuBusy::MemRead,3366.0,37.97,96.62
system.cpu.statFuBusy::MemWrite,256.0,2.89,99.5
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,99.5
system.cpu.statFuBusy::FloatMemWrite,44.0,0.5,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
