
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002174                       # Number of seconds simulated (Second)
simTicks                                   2174214000                       # Number of ticks simulated (Tick)
finalTick                                  2174214000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.12                       # Real time elapsed on the host (Second)
hostTickRate                                 90147347                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8532380                       # Number of bytes of host memory used (Byte)
simInsts                                       397903                       # Number of instructions simulated (Count)
simOps                                         397949                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    16498                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      16500                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     26                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           26                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2174217                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.464189                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.183010                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          420869                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      286                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         587361                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1450                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                23205                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             13804                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 152                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2162483                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.271614                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.871318                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1882044     87.03%     87.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    120723      5.58%     92.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     82379      3.81%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     51193      2.37%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      7097      0.33%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5333      0.25%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6347      0.29%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3770      0.17%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3597      0.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2162483                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5747     60.72%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     60.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     60.72% # attempts to use FU when none available (Count)
