run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,23,-,2026-05-12T04:21:19+00:00,2026-05-12T04:21:42+00:00
2,OK,0,25,-,2026-05-12T04:21:42+00:00,2026-05-12T04:22:07+00:00
3,OK,0,23,-,2026-05-12T04:22:03+00:00,2026-05-12T04:22:26+00:00
4,OK,0,23,-,2026-05-12T04:22:07+00:00,2026-05-12T04:22:30+00:00
5,OK,0,24,-,2026-05-12T04:22:26+00:00,2026-05-12T04:22:50+00:00
6,OK,0,25,-,2026-05-12T04:22:30+00:00,2026-05-12T04:22:55+00:00
7,OK,0,25,-,2026-05-12T04:22:50+00:00,2026-05-12T04:23:15+00:00
8,OK,0,24,-,2026-05-12T04:22:51+00:00,2026-05-12T04:23:15+00:00
9,OK,0,25,-,2026-05-12T04:22:55+00:00,2026-05-12T04:23:20+00:00
10,OK,0,24,-,2026-05-12T04:23:15+00:00,2026-05-12T04:23:39+00:00
11,OK,0,25,-,2026-05-12T04:23:15+00:00,2026-05-12T04:23:40+00:00
12,OK,0,25,-,2026-05-12T04:23:20+00:00,2026-05-12T04:23:45+00:00
13,OK,0,24,-,2026-05-12T04:23:39+00:00,2026-05-12T04:24:03+00:00
14,OK,0,24,-,2026-05-12T04:23:40+00:00,2026-05-12T04:24:04+00:00
15,OK,0,24,-,2026-05-12T04:23:41+00:00,2026-05-12T04:24:05+00:00
16,OK,0,24,-,2026-05-12T04:23:45+00:00,2026-05-12T04:24:09+00:00
17,OK,0,24,-,2026-05-12T04:24:03+00:00,2026-05-12T04:24:27+00:00
18,OK,0,24,-,2026-05-12T04:24:04+00:00,2026-05-12T04:24:28+00:00
19,OK,0,24,-,2026-05-12T04:24:05+00:00,2026-05-12T04:24:29+00:00
20,OK,0,25,-,2026-05-12T04:24:09+00:00,2026-05-12T04:24:34+00:00
