Tick: 211218000, Cache Block Addr: 453888, Byte Offset: 30, FaultType: bit_flip, Mask: 01000000
Tick: 272035000, Cache Block Addr: 424896, Byte Offset: 53, FaultType: bit_flip, Mask: 00100000
Tick: 316489000, Cache Block Addr: 424768, Byte Offset: 27, FaultType: bit_flip, Mask: 10000000
Tick: 526609000, Cache Block Addr: 424640, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 527773000, Cache Block Addr: 423360, Byte Offset: 25, FaultType: bit_flip, Mask: 00000100
Tick: 774482000, Cache Block Addr: 424640, Byte Offset: 3, FaultType: bit_flip, Mask: 00000010
Tick: 782735000, Cache Block Addr: 453888, Byte Offset: 42, FaultType: bit_flip, Mask: 01000000
Tick: 930742000, Cache Block Addr: 423488, Byte Offset: 40, FaultType: bit_flip, Mask: 10000000
Tick: 950401000, Cache Block Addr: 423232, Byte Offset: 33, FaultType: bit_flip, Mask: 00100000
Tick: 1023486000, Cache Block Addr: 423424, Byte Offset: 37, FaultType: bit_flip, Mask: 00000001
Tick: 1064853000, Cache Block Addr: 422976, Byte Offset: 59, FaultType: bit_flip, Mask: 00000010
Tick: 1173521000, Cache Block Addr: 422976, Byte Offset: 20, FaultType: bit_flip, Mask: 01000000
Tick: 1192260000, Cache Block Addr: 424448, Byte Offset: 50, FaultType: bit_flip, Mask: 00000100
Tick: 1234987000, Cache Block Addr: 423744, Byte Offset: 44, FaultType: bit_flip, Mask: 00000001
Tick: 1392565000, Cache Block Addr: 269888, Byte Offset: 9, FaultType: bit_flip, Mask: 01000000
Tick: 1469199000, Cache Block Addr: 423040, Byte Offset: 40, FaultType: bit_flip, Mask: 00000001
Tick: 1657951000, Cache Block Addr: 423424, Byte Offset: 2, FaultType: bit_flip, Mask: 10000000
Tick: 1673654000, Cache Block Addr: 424384, Byte Offset: 42, FaultType: bit_flip, Mask: 00010000
Tick: 2089982000, Cache Block Addr: 423424, Byte Offset: 30, FaultType: bit_flip, Mask: 10000000
Tick: 2091756000, Cache Block Addr: 423872, Byte Offset: 29, FaultType: bit_flip, Mask: 00010000
Tick: 2662413000, Cache Block Addr: 424064, Byte Offset: 62, FaultType: bit_flip, Mask: 10000000
Tick: 2700878000, Cache Block Addr: 424128, Byte Offset: 2, FaultType: bit_flip, Mask: 00000100
Tick: 2741503000, Cache Block Addr: 453888, Byte Offset: 46, FaultType: bit_flip, Mask: 00100000
Tick: 2820091000, Cache Block Addr: 423744, Byte Offset: 15, FaultType: bit_flip, Mask: 00000010
Tick: 2879090000, Cache Block Addr: 424384, Byte Offset: 49, FaultType: bit_flip, Mask: 00001000
Tick: 2890371000, Cache Block Addr: 423232, Byte Offset: 58, FaultType: bit_flip, Mask: 00100000
Tick: 3057187000, Cache Block Addr: 424064, Byte Offset: 9, FaultType: bit_flip, Mask: 00000100
Tick: 3211179000, Cache Block Addr: 424832, Byte Offset: 7, FaultType: bit_flip, Mask: 00000010
Tick: 3492430000, Cache Block Addr: 424064, Byte Offset: 9, FaultType: bit_flip, Mask: 00000010
Tick: 3523216000, Cache Block Addr: 453888, Byte Offset: 11, FaultType: bit_flip, Mask: 10000000
Tick: 3585066000, Cache Block Addr: 423616, Byte Offset: 48, FaultType: bit_flip, Mask: 01000000
Tick: 3668893000, Cache Block Addr: 424896, Byte Offset: 27, FaultType: bit_flip, Mask: 00000010
Tick: 3700673000, Cache Block Addr: 424832, Byte Offset: 19, FaultType: bit_flip, Mask: 00010000
Tick: 3862350000, Cache Block Addr: 269888, Byte Offset: 4, FaultType: bit_flip, Mask: 00010000
Tick: 3957561000, Cache Block Addr: 269888, Byte Offset: 16, FaultType: bit_flip, Mask: 00001000
Tick: 4340417000, Cache Block Addr: 424576, Byte Offset: 1, FaultType: bit_flip, Mask: 00010000
Tick: 4433894000, Cache Block Addr: 424384, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 4504054000, Cache Block Addr: 423232, Byte Offset: 47, FaultType: bit_flip, Mask: 00000100
Tick: 4523212000, Cache Block Addr: 424000, Byte Offset: 4, FaultType: bit_flip, Mask: 01000000
Tick: 4577227000, Cache Block Addr: 424960, Byte Offset: 23, FaultType: bit_flip, Mask: 00001000
Tick: 4600858000, Cache Block Addr: 423808, Byte Offset: 37, FaultType: bit_flip, Mask: 00000001
Tick: 4620624000, Cache Block Addr: 424640, Byte Offset: 8, FaultType: bit_flip, Mask: 00010000
Tick: 4684269000, Cache Block Addr: 424000, Byte Offset: 58, FaultType: bit_flip, Mask: 00001000
Tick: 4723706000, Cache Block Addr: 424896, Byte Offset: 2, FaultType: bit_flip, Mask: 00000010
Tick: 4846236000, Cache Block Addr: 424448, Byte Offset: 37, FaultType: bit_flip, Mask: 00000100
Tick: 4939141000, Cache Block Addr: 423552, Byte Offset: 48, FaultType: bit_flip, Mask: 01000000
Tick: 5095802000, Cache Block Addr: 423488, Byte Offset: 18, FaultType: bit_flip, Mask: 01000000
Tick: 5236198000, Cache Block Addr: 423424, Byte Offset: 46, FaultType: bit_flip, Mask: 10000000
Tick: 5247923000, Cache Block Addr: 453888, Byte Offset: 33, FaultType: bit_flip, Mask: 10000000
Tick: 5268384000, Cache Block Addr: 424640, Byte Offset: 46, FaultType: bit_flip, Mask: 00000001
Tick: 5295540000, Cache Block Addr: 424256, Byte Offset: 31, FaultType: bit_flip, Mask: 00000001
Tick: 5320085000, Cache Block Addr: 424064, Byte Offset: 3, FaultType: bit_flip, Mask: 00100000
