stat,value,pct,cum_pct
simSeconds,0.000254,,
simTicks,254266000.0,,
finalTick,254266000.0,,
simFreq,1000000000000.0,,
hostSeconds,13.16,,
hostTickRate,19319805.0,,
hostMemory,8529756.0,,
simInsts,858871.0,,
simOps,858879.0,,
hostInstRate,65259.0,,
hostOpRate,65259.0,,
system.chaos.numFaultsInjected,3.0,,
system.chaos.numBitFlips,3.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,254267.0,,
system.cpu.cpi,0.296048,,
system.cpu.ipc,3.377831,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,887974.0,,
system.cpu.nonSpecInstsAdded,140.0,,
system.cpu.instsIssued,911992.0,,
system.cpu.squashedInstsIssued,1585.0,,
system.cpu.squashedInstsExamined,29234.0,,
system.cpu.squashedOperandsExamined,18602.0,,
system.cpu.squashedNonSpecRemoved,78.0,,
system.cpu.numIssuedDist::samples,243859.0,,
system.cpu.numIssuedDist::mean,3.739833,,
system.cpu.numIssuedDist::stdev,2.48514,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,41351.0,16.96,16.96
system.cpu.numIssuedDist::1,16578.0,6.8,23.76
system.cpu.numIssuedDist::2,28202.0,11.56,35.32
system.cpu.numIssuedDist::3,14422.0,5.91,41.23
system.cpu.numIssuedDist::4,38497.0,15.79,57.02
system.cpu.numIssuedDist::5,37568.0,15.41,72.43
system.cpu.numIssuedDist::6,29583.0,12.13,84.56
system.cpu.numIssuedDist::7,24846.0,10.19,94.75
system.cpu.numIssuedDist::8,12812.0,5.25,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,243859.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,1820.0,7.16,7.16
system.cpu.statFuBusy::IntMult,54.0,0.21,7.37
system.cpu.statFuBusy::IntDiv,3.0,0.01,7.38
system.cpu.statFuBusy::ByteMult,0.0,0.0,7.38
system.cpu.statFuBusy::ByteDiv,0.0,0.0,7.38
system.cpu.statFuBusy::FloatAdd,0.0,0.0,7.38
system.cpu.statFuBusy::FloatCmp,0.0,0.0,7.38
system.cpu.statFuBusy::FloatCvt,0.0,0.0,7.38
system.cpu.statFuBusy::FloatMult,1597.0,6.28,13.66
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,13.66
system.cpu.statFuBusy::FloatDiv,0.0,0.0,13.66
system.cpu.statFuBusy::FloatMisc,0.0,0.0,13.66
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,13.66
system.cpu.statFuBusy::SimdAdd,0.0,0.0,13.66
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,13.66
system.cpu.statFuBusy::SimdAlu,0.0,0.0,13.66
system.cpu.statFuBusy::SimdCmp,0.0,0.0,13.66
