
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006006                       # Number of seconds simulated (Second)
simTicks                                   6006163000                       # Number of ticks simulated (Tick)
finalTick                                  6006163000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    393.55                       # Real time elapsed on the host (Second)
hostTickRate                                 15261320                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529904                       # Number of bytes of host memory used (Byte)
simInsts                                     25200540                       # Number of instructions simulated (Count)
simOps                                       25200548                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    64033                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      64033                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     68                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           68                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6006164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.238335                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               4.195780                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        25406632                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      166                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26209650                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1730                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               206249                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            151145                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5995904                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.371259                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.162528                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    297317      4.96%      4.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    386822      6.45%     11.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    776873     12.96%     24.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    380073      6.34%     30.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1097241     18.30%     49.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1092020     18.21%     67.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    856061     14.28%     81.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    732543     12.22%     93.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    376954      6.29%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5995904                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   51096      7.17%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     50      0.01%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       2      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                47997      6.73%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     13.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     13.90% # attempts to use FU when none available (Count)
