run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
4,CRASH,134,233,exit_134,2026-05-12T04:24:34+00:00,2026-05-12T04:28:27+00:00
2,OK,0,401,-,2026-05-12T04:24:28+00:00,2026-05-12T04:31:09+00:00
3,CRASH,134,449,exit_134,2026-05-12T04:24:29+00:00,2026-05-12T04:31:58+00:00
1,CRASH,134,496,exit_134,2026-05-12T04:24:27+00:00,2026-05-12T04:32:43+00:00
5,OK,0,400,-,2026-05-12T04:26:41+00:00,2026-05-12T04:33:21+00:00
9,CRASH,134,304,exit_134,2026-05-12T04:28:43+00:00,2026-05-12T04:33:47+00:00
7,OK,0,395,-,2026-05-12T04:28:32+00:00,2026-05-12T04:35:07+00:00
8,OK,0,394,-,2026-05-12T04:28:36+00:00,2026-05-12T04:35:10+00:00
6,CRASH,134,443,exit_134,2026-05-12T04:28:27+00:00,2026-05-12T04:35:50+00:00
10,CRASH,134,433,exit_134,2026-05-12T04:31:09+00:00,2026-05-12T04:38:22+00:00
11,CRASH,134,442,exit_134,2026-05-12T04:31:58+00:00,2026-05-12T04:39:20+00:00
12,CRASH,134,444,exit_134,2026-05-12T04:32:43+00:00,2026-05-12T04:40:07+00:00
13,CRASH,134,453,exit_134,2026-05-12T04:33:21+00:00,2026-05-12T04:40:54+00:00
16,OK,0,386,-,2026-05-12T04:35:10+00:00,2026-05-12T04:41:36+00:00
14,CRASH,134,476,exit_134,2026-05-12T04:33:47+00:00,2026-05-12T04:41:43+00:00
17,OK,0,390,-,2026-05-12T04:35:50+00:00,2026-05-12T04:42:20+00:00
15,CRASH,134,433,exit_134,2026-05-12T04:35:07+00:00,2026-05-12T04:42:20+00:00
18,CRASH,134,416,exit_134,2026-05-12T04:38:22+00:00,2026-05-12T04:45:18+00:00
19,CRASH,134,407,exit_134,2026-05-12T04:39:20+00:00,2026-05-12T04:46:07+00:00
20,OK,0,371,-,2026-05-12T04:40:07+00:00,2026-05-12T04:46:18+00:00
