
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001615                       # Number of seconds simulated (Second)
simTicks                                   1614657000                       # Number of ticks simulated (Tick)
finalTick                                  1614657000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     25.85                       # Real time elapsed on the host (Second)
hostTickRate                                 62467369                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530612                       # Number of bytes of host memory used (Byte)
simInsts                                       877621                       # Number of instructions simulated (Count)
simOps                                         877627                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33953                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      33953                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                    164                       # Total number of faults injected (Count)
system.chaos.numBitFlips                          164                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1614658                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.839812                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.543534                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          948889                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2153                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         936999                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1762                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73414                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37286                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1609311                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.582236                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.421563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1225939     76.18%     76.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    192742     11.98%     88.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     53234      3.31%     91.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     57164      3.55%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     21450      1.33%     96.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     13827      0.86%     97.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     17869      1.11%     98.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     12540      0.78%     99.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14546      0.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1609311                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4188     16.46%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.46% # attempts to use FU when none available (Count)
