Tick: 62756000, Cache Block Addr: 104896, Byte Offset: 55, FaultType: bit_flip, Mask: 01000000
Tick: 84475000, Cache Block Addr: 114944, Byte Offset: 59, FaultType: bit_flip, Mask: 00000001
Tick: 92183000, Cache Block Addr: 64064, Byte Offset: 40, FaultType: bit_flip, Mask: 00100000
Tick: 109971000, Cache Block Addr: 62400, Byte Offset: 47, FaultType: bit_flip, Mask: 00100000
Tick: 113377000, Cache Block Addr: 126208, Byte Offset: 36, FaultType: bit_flip, Mask: 00010000
Tick: 113391000, Cache Block Addr: 76736, Byte Offset: 42, FaultType: bit_flip, Mask: 00000001
Tick: 129331000, Cache Block Addr: 75328, Byte Offset: 13, FaultType: bit_flip, Mask: 01000000
Tick: 143086000, Cache Block Addr: 97472, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 144396000, Cache Block Addr: 109056, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 144890000, Cache Block Addr: 100480, Byte Offset: 19, FaultType: bit_flip, Mask: 10000000
Tick: 157117000, Cache Block Addr: 118720, Byte Offset: 42, FaultType: bit_flip, Mask: 00000100
Tick: 165335000, Cache Block Addr: 120512, Byte Offset: 11, FaultType: bit_flip, Mask: 01000000
Tick: 180409000, Cache Block Addr: 84480, Byte Offset: 50, FaultType: bit_flip, Mask: 00001000
Tick: 187941000, Cache Block Addr: 68288, Byte Offset: 50, FaultType: bit_flip, Mask: 00000010
Tick: 201357000, Cache Block Addr: 99392, Byte Offset: 37, FaultType: bit_flip, Mask: 00001000
Tick: 207778000, Cache Block Addr: 104512, Byte Offset: 24, FaultType: bit_flip, Mask: 01000000
Tick: 214598000, Cache Block Addr: 103488, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 224071000, Cache Block Addr: 121664, Byte Offset: 5, FaultType: bit_flip, Mask: 01000000
Tick: 232194000, Cache Block Addr: 126976, Byte Offset: 61, FaultType: bit_flip, Mask: 00100000
Tick: 249278000, Cache Block Addr: 79680, Byte Offset: 61, FaultType: bit_flip, Mask: 00000100
Tick: 259331000, Cache Block Addr: 83904, Byte Offset: 17, FaultType: bit_flip, Mask: 00000001
Tick: 268411000, Cache Block Addr: 91840, Byte Offset: 42, FaultType: bit_flip, Mask: 00000001
Tick: 272495000, Cache Block Addr: 101184, Byte Offset: 21, FaultType: bit_flip, Mask: 00000010
Tick: 277852000, Cache Block Addr: 112960, Byte Offset: 24, FaultType: bit_flip, Mask: 00010000
Tick: 298824000, Cache Block Addr: 72512, Byte Offset: 20, FaultType: bit_flip, Mask: 00000001
Tick: 314889000, Cache Block Addr: 90688, Byte Offset: 48, FaultType: bit_flip, Mask: 00001000
Tick: 327442000, Cache Block Addr: 90560, Byte Offset: 40, FaultType: bit_flip, Mask: 00000001
Tick: 334794000, Cache Block Addr: 93504, Byte Offset: 44, FaultType: bit_flip, Mask: 10000000
Tick: 335764000, Cache Block Addr: 108672, Byte Offset: 54, FaultType: bit_flip, Mask: 00100000
