run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,5,-,2026-05-09T23:33:17+00:00,2026-05-09T23:33:22+00:00
2,OK,0,5,-,2026-05-09T23:33:22+00:00,2026-05-09T23:33:27+00:00
3,OK,0,5,-,2026-05-09T23:33:27+00:00,2026-05-09T23:33:32+00:00
4,OK,0,5,-,2026-05-09T23:33:32+00:00,2026-05-09T23:33:37+00:00
5,OK,0,5,-,2026-05-09T23:33:37+00:00,2026-05-09T23:33:42+00:00
6,OK,0,5,-,2026-05-09T23:33:41+00:00,2026-05-09T23:33:46+00:00
7,OK,0,5,-,2026-05-09T23:33:42+00:00,2026-05-09T23:33:47+00:00
8,OK,0,5,-,2026-05-09T23:33:46+00:00,2026-05-09T23:33:51+00:00
10,OK,0,5,-,2026-05-09T23:33:51+00:00,2026-05-09T23:33:56+00:00
9,CRASH,134,98,exit_134,2026-05-09T23:33:47+00:00,2026-05-09T23:35:25+00:00
