Tick: 56704000, Cache Block Addr: 422592, Byte Offset: 16, FaultType: bit_flip, Mask: 00100000
Tick: 77570000, Cache Block Addr: 466304, Byte Offset: 43, FaultType: bit_flip, Mask: 10000000
Tick: 107393000, Cache Block Addr: 480640, Byte Offset: 46, FaultType: bit_flip, Mask: 01000000
Tick: 112255000, Cache Block Addr: 488704, Byte Offset: 50, FaultType: bit_flip, Mask: 00000010
Tick: 113214000, Cache Block Addr: 488768, Byte Offset: 21, FaultType: bit_flip, Mask: 01000000
Tick: 131163000, Cache Block Addr: 500928, Byte Offset: 35, FaultType: bit_flip, Mask: 00001000
Tick: 142111000, Cache Block Addr: 505792, Byte Offset: 18, FaultType: bit_flip, Mask: 00000010
Tick: 165622000, Cache Block Addr: 486720, Byte Offset: 33, FaultType: bit_flip, Mask: 00000100
Tick: 166074000, Cache Block Addr: 486592, Byte Offset: 59, FaultType: bit_flip, Mask: 00010000
Tick: 174837000, Cache Block Addr: 488832, Byte Offset: 22, FaultType: bit_flip, Mask: 00001000
Tick: 179631000, Cache Block Addr: 505024, Byte Offset: 51, FaultType: bit_flip, Mask: 00000100
Tick: 193708000, Cache Block Addr: 492416, Byte Offset: 45, FaultType: bit_flip, Mask: 00000100
Tick: 203873000, Cache Block Addr: 522752, Byte Offset: 62, FaultType: bit_flip, Mask: 00001000
Tick: 207513000, Cache Block Addr: 520960, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 214690000, Cache Block Addr: 502784, Byte Offset: 6, FaultType: bit_flip, Mask: 10000000
Tick: 216983000, Cache Block Addr: 516160, Byte Offset: 46, FaultType: bit_flip, Mask: 00100000
Tick: 223575000, Cache Block Addr: 527936, Byte Offset: 37, FaultType: bit_flip, Mask: 01000000
Tick: 230493000, Cache Block Addr: 519552, Byte Offset: 60, FaultType: bit_flip, Mask: 00000001
Tick: 247824000, Cache Block Addr: 521600, Byte Offset: 3, FaultType: bit_flip, Mask: 10000000
