stat,value,pct,cum_pct
simSeconds,0.001538,,
simTicks,1537599000.0,,
finalTick,1537599000.0,,
simFreq,1000000000000.0,,
hostSeconds,24.21,,
hostTickRate,63508790.0,,
hostMemory,8529588.0,,
simInsts,857119.0,,
simOps,857125.0,,
hostInstRate,35402.0,,
hostOpRate,35402.0,,
system.chaos.numFaultsInjected,147.0,,
system.chaos.numBitFlips,147.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,1537600.0,,
system.cpu.cpi,1.793917,,
system.cpu.ipc,0.55744,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,928316.0,,
system.cpu.nonSpecInstsAdded,2153.0,,
system.cpu.instsIssued,916479.0,,
system.cpu.squashedInstsIssued,1762.0,,
system.cpu.squashedInstsExamined,73343.0,,
system.cpu.squashedOperandsExamined,37213.0,,
system.cpu.squashedNonSpecRemoved,2104.0,,
system.cpu.numIssuedDist::samples,1532243.0,,
system.cpu.numIssuedDist::mean,0.598129,,
system.cpu.numIssuedDist::stdev,1.447963,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,1163217.0,75.92,75.92
system.cpu.numIssuedDist::1,182508.0,11.91,87.83
system.cpu.numIssuedDist::2,51173.0,3.34,91.17
system.cpu.numIssuedDist::3,55114.0,3.6,94.76
system.cpu.numIssuedDist::4,21453.0,1.4,96.16
system.cpu.numIssuedDist::5,13827.0,0.9,97.07
system.cpu.numIssuedDist::6,17867.0,1.17,98.23
system.cpu.numIssuedDist::7,12538.0,0.82,99.05
system.cpu.numIssuedDist::8,14546.0,0.95,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,1532243.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,4188.0,16.46,16.46
system.cpu.statFuBusy::IntMult,0.0,0.0,16.46
system.cpu.statFuBusy::IntDiv,0.0,0.0,16.46
system.cpu.statFuBusy::ByteMult,0.0,0.0,16.46
system.cpu.statFuBusy::ByteDiv,0.0,0.0,16.46
system.cpu.statFuBusy::FloatAdd,0.0,0.0,16.46
system.cpu.statFuBusy::FloatCmp,0.0,0.0,16.46
system.cpu.statFuBusy::FloatCvt,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMult,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::FloatDiv,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMisc,0.0,0.0,16.46
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdCvt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMisc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMult,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShift,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdDiv,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAes,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,16.46
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,16.46
system.cpu.statFuBusy::Matrix,0.0,0.0,16.46
system.cpu.statFuBusy::MatrixMov,0.0,0.0,16.46
system.cpu.statFuBusy::MatrixOP,0.0,0.0,16.46
system.cpu.statFuBusy::MemRead,8761.0,34.44,50.91
system.cpu.statFuBusy::MemWrite,12485.0,49.08,99.99
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,99.99
system.cpu.statFuBusy::FloatMemWrite,3.0,0.01,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorMisc,0.0,0.0,100.0
