run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
2,OK,0,5,-,2026-05-09T23:32:05+00:00,2026-05-09T23:32:10+00:00
3,OK,0,5,-,2026-05-09T23:32:10+00:00,2026-05-09T23:32:15+00:00
4,OK,0,5,-,2026-05-09T23:32:15+00:00,2026-05-09T23:32:20+00:00
5,OK,0,5,-,2026-05-09T23:32:20+00:00,2026-05-09T23:32:25+00:00
6,OK,0,4,-,2026-05-09T23:32:25+00:00,2026-05-09T23:32:29+00:00
9,OK,0,4,-,2026-05-09T23:33:08+00:00,2026-05-09T23:33:12+00:00
10,OK,0,5,-,2026-05-09T23:33:12+00:00,2026-05-09T23:33:17+00:00
1,CRASH,134,193,exit_134,2026-05-09T23:31:37+00:00,2026-05-09T23:34:50+00:00
8,CRASH,137,3036,exit_137,2026-05-09T23:32:36+00:00,2026-05-10T00:23:12+00:00
7,CRASH,137,3043,exit_137,2026-05-09T23:32:29+00:00,2026-05-10T00:23:12+00:00
