
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000297                       # Number of seconds simulated (Second)
simTicks                                    296825000                       # Number of ticks simulated (Tick)
finalTick                                   296825000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      4.09                       # Real time elapsed on the host (Second)
hostTickRate                                 72563485                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529260                       # Number of bytes of host memory used (Byte)
simInsts                                       171065                       # Number of instructions simulated (Count)
simOps                                         171065                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    41819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      41819                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                     17                       # Total number of faults injected (Count)
system.chaos.numBitFlips                           17                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           296826                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.735165                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.576314                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          177892                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       42                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         192071                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    195                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6868                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3587                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  16                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              293796                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.653756                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.604451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    237479     80.83%     80.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     10890      3.71%     84.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     11777      4.01%     88.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     11599      3.95%     92.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5611      1.91%     94.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5351      1.82%     96.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6226      2.12%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2629      0.89%     99.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2234      0.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                293796                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     629     18.64%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.64% # attempts to use FU when none available (Count)
