stat,value,pct,cum_pct
simSeconds,0.000255,,
simTicks,255121000.0,,
finalTick,255121000.0,,
simFreq,1000000000000.0,,
hostSeconds,10.12,,
hostTickRate,25206850.0,,
hostMemory,8530616.0,,
simInsts,531225.0,,
simOps,531231.0,,
hostInstRate,52487.0,,
hostOpRate,52487.0,,
system.chaos.numFaultsInjected,15.0,,
system.chaos.numBitFlips,15.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,255122.0,,
system.cpu.cpi,0.480252,,
system.cpu.ipc,2.082239,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,602503.0,,
system.cpu.nonSpecInstsAdded,2154.0,,
system.cpu.instsIssued,590556.0,,
system.cpu.squashedInstsIssued,1762.0,,
system.cpu.squashedInstsExamined,73425.0,,
system.cpu.squashedOperandsExamined,37294.0,,
system.cpu.squashedNonSpecRemoved,2105.0,,
system.cpu.numIssuedDist::samples,249647.0,,
system.cpu.numIssuedDist::mean,2.365564,,
system.cpu.numIssuedDist::stdev,2.668087,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,108787.0,43.58,43.58
system.cpu.numIssuedDist::1,19527.0,7.82,51.4
system.cpu.numIssuedDist::2,18575.0,7.44,58.84
system.cpu.numIssuedDist::3,22526.0,9.02,67.86
system.cpu.numIssuedDist::4,21443.0,8.59,76.45
system.cpu.numIssuedDist::5,13834.0,5.54,81.99
system.cpu.numIssuedDist::6,17873.0,7.16,89.15
system.cpu.numIssuedDist::7,12535.0,5.02,94.17
system.cpu.numIssuedDist::8,14547.0,5.83,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,249647.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,4188.0,16.46,16.46
system.cpu.statFuBusy::IntMult,0.0,0.0,16.46
system.cpu.statFuBusy::IntDiv,0.0,0.0,16.46
system.cpu.statFuBusy::ByteMult,0.0,0.0,16.46
system.cpu.statFuBusy::ByteDiv,0.0,0.0,16.46
system.cpu.statFuBusy::FloatAdd,0.0,0.0,16.46
system.cpu.statFuBusy::FloatCmp,0.0,0.0,16.46
system.cpu.statFuBusy::FloatCvt,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMult,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::FloatDiv,0.0,0.0,16.46
system.cpu.statFuBusy::FloatMisc,0.0,0.0,16.46
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdCvt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMisc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMult,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShift,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdDiv,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,16.46
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,16.46
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAes,0.0,0.0,16.46
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,16.46
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,16.46
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,16.46
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,16.46
system.cpu.statFuBusy::Matrix,0.0,0.0,16.46
system.cpu.statFuBusy::MatrixMov,0.0,0.0,16.46
system.cpu.statFuBusy::MatrixOP,0.0,0.0,16.46
system.cpu.statFuBusy::MemRead,8759.0,34.44,50.9
system.cpu.statFuBusy::MemWrite,12486.0,49.09,99.99
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,99.99
system.cpu.statFuBusy::FloatMemWrite,3.0,0.01,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
