Tick: 63553000, Cache Block Addr: 479040, Byte Offset: 8, FaultType: bit_flip, Mask: 10000000
Tick: 64724000, Cache Block Addr: 475392, Byte Offset: 40, FaultType: bit_flip, Mask: 01000000
Tick: 71111000, Cache Block Addr: 462144, Byte Offset: 46, FaultType: bit_flip, Mask: 00000010
Tick: 100585000, Cache Block Addr: 470528, Byte Offset: 27, FaultType: bit_flip, Mask: 00010000
Tick: 100841000, Cache Block Addr: 491008, Byte Offset: 35, FaultType: bit_flip, Mask: 00001000
Tick: 119197000, Cache Block Addr: 476736, Byte Offset: 10, FaultType: bit_flip, Mask: 01000000
Tick: 126345000, Cache Block Addr: 498368, Byte Offset: 27, FaultType: bit_flip, Mask: 00001000
Tick: 156460000, Cache Block Addr: 492992, Byte Offset: 9, FaultType: bit_flip, Mask: 10000000
Tick: 160812000, Cache Block Addr: 487744, Byte Offset: 30, FaultType: bit_flip, Mask: 01000000
Tick: 171126000, Cache Block Addr: 498880, Byte Offset: 40, FaultType: bit_flip, Mask: 00000010
Tick: 175070000, Cache Block Addr: 490944, Byte Offset: 37, FaultType: bit_flip, Mask: 00010000
Tick: 190656000, Cache Block Addr: 491968, Byte Offset: 17, FaultType: bit_flip, Mask: 00000010
Tick: 192043000, Cache Block Addr: 501312, Byte Offset: 17, FaultType: bit_flip, Mask: 01000000
Tick: 195109000, Cache Block Addr: 505536, Byte Offset: 29, FaultType: bit_flip, Mask: 00000010
Tick: 199628000, Cache Block Addr: 503808, Byte Offset: 16, FaultType: bit_flip, Mask: 00100000
Tick: 201523000, Cache Block Addr: 522048, Byte Offset: 4, FaultType: bit_flip, Mask: 00000100
Tick: 202958000, Cache Block Addr: 524352, Byte Offset: 0, FaultType: bit_flip, Mask: 01000000
Tick: 209749000, Cache Block Addr: 505664, Byte Offset: 22, FaultType: bit_flip, Mask: 01000000
Tick: 216151000, Cache Block Addr: 513344, Byte Offset: 40, FaultType: bit_flip, Mask: 00001000
