run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,4,-,2026-05-11T00:27:34+00:00,2026-05-11T00:27:38+00:00
2,CRASH,137,15,exit_137,2026-05-11T00:27:34+00:00,2026-05-11T00:27:49+00:00
3,CRASH,137,15,exit_137,2026-05-11T00:27:37+00:00,2026-05-11T00:27:52+00:00
4,CRASH,137,15,exit_137,2026-05-11T00:27:38+00:00,2026-05-11T00:27:53+00:00
5,CRASH,137,15,exit_137,2026-05-11T00:27:38+00:00,2026-05-11T00:27:53+00:00
8,OK,0,5,-,2026-05-11T00:27:49+00:00,2026-05-11T00:27:54+00:00
6,CRASH,137,15,exit_137,2026-05-11T00:27:39+00:00,2026-05-11T00:27:54+00:00
10,OK,0,5,-,2026-05-11T00:27:53+00:00,2026-05-11T00:27:58+00:00
11,OK,0,5,-,2026-05-11T00:27:53+00:00,2026-05-11T00:27:58+00:00
13,OK,0,5,-,2026-05-11T00:27:54+00:00,2026-05-11T00:27:59+00:00
7,CRASH,137,15,exit_137,2026-05-11T00:27:48+00:00,2026-05-11T00:28:03+00:00
14,OK,0,5,-,2026-05-11T00:27:58+00:00,2026-05-11T00:28:03+00:00
15,OK,0,5,-,2026-05-11T00:27:58+00:00,2026-05-11T00:28:03+00:00
9,CRASH,137,15,exit_137,2026-05-11T00:27:52+00:00,2026-05-11T00:28:07+00:00
17,OK,0,4,-,2026-05-11T00:28:03+00:00,2026-05-11T00:28:07+00:00
18,OK,0,5,-,2026-05-11T00:28:03+00:00,2026-05-11T00:28:08+00:00
19,OK,0,5,-,2026-05-11T00:28:03+00:00,2026-05-11T00:28:08+00:00
12,CRASH,137,15,exit_137,2026-05-11T00:27:54+00:00,2026-05-11T00:28:09+00:00
20,OK,0,5,-,2026-05-11T00:28:07+00:00,2026-05-11T00:28:12+00:00
21,OK,0,5,-,2026-05-11T00:28:07+00:00,2026-05-11T00:28:12+00:00
23,OK,0,4,-,2026-05-11T00:28:08+00:00,2026-05-11T00:28:12+00:00
24,OK,0,5,-,2026-05-11T00:28:09+00:00,2026-05-11T00:28:14+00:00
16,CRASH,137,15,exit_137,2026-05-11T00:27:59+00:00,2026-05-11T00:28:14+00:00
22,CRASH,137,15,exit_137,2026-05-11T00:28:08+00:00,2026-05-11T00:28:23+00:00
25,CRASH,137,15,exit_137,2026-05-11T00:28:12+00:00,2026-05-11T00:28:27+00:00
26,CRASH,137,15,exit_137,2026-05-11T00:28:12+00:00,2026-05-11T00:28:27+00:00
27,CRASH,137,15,exit_137,2026-05-11T00:28:12+00:00,2026-05-11T00:28:27+00:00
28,CRASH,137,15,exit_137,2026-05-11T00:28:14+00:00,2026-05-11T00:28:29+00:00
29,CRASH,137,15,exit_137,2026-05-11T00:28:14+00:00,2026-05-11T00:28:29+00:00
32,OK,0,5,-,2026-05-11T00:28:27+00:00,2026-05-11T00:28:32+00:00
33,OK,0,4,-,2026-05-11T00:28:28+00:00,2026-05-11T00:28:32+00:00
30,CRASH,137,15,exit_137,2026-05-11T00:28:23+00:00,2026-05-11T00:28:38+00:00
31,CRASH,137,15,exit_137,2026-05-11T00:28:27+00:00,2026-05-11T00:28:42+00:00
34,CRASH,137,15,exit_137,2026-05-11T00:28:29+00:00,2026-05-11T00:28:44+00:00
35,CRASH,137,15,exit_137,2026-05-11T00:28:29+00:00,2026-05-11T00:28:44+00:00
36,CRASH,137,15,exit_137,2026-05-11T00:28:32+00:00,2026-05-11T00:28:47+00:00
37,CRASH,137,15,exit_137,2026-05-11T00:28:32+00:00,2026-05-11T00:28:47+00:00
38,CRASH,137,15,exit_137,2026-05-11T00:28:38+00:00,2026-05-11T00:28:53+00:00
39,CRASH,137,15,exit_137,2026-05-11T00:28:42+00:00,2026-05-11T00:28:57+00:00
40,CRASH,137,15,exit_137,2026-05-11T00:28:44+00:00,2026-05-11T00:28:59+00:00
