stat,value,pct,cum_pct
simSeconds,0.000234,,
simTicks,234453000.0,,
finalTick,234453000.0,,
simFreq,1000000000000.0,,
hostSeconds,9.76,,
hostTickRate,24019240.0,,
hostMemory,8530716.0,,
simInsts,514625.0,,
simOps,514631.0,,
hostInstRate,52722.0,,
hostOpRate,52722.0,,
system.chaos.numFaultsInjected,19.0,,
system.chaos.numBitFlips,19.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,234454.0,,
system.cpu.cpi,0.455582,,
system.cpu.ipc,2.194993,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,585847.0,,
system.cpu.nonSpecInstsAdded,2153.0,,
system.cpu.instsIssued,573949.0,,
system.cpu.squashedInstsIssued,1762.0,,
system.cpu.squashedInstsExamined,73368.0,,
system.cpu.squashedOperandsExamined,37228.0,,
system.cpu.squashedNonSpecRemoved,2104.0,,
system.cpu.numIssuedDist::samples,229047.0,,
system.cpu.numIssuedDist::mean,2.505813,,
system.cpu.numIssuedDist::stdev,2.729182,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,99809.0,43.58,43.58
system.cpu.numIssuedDist::1,11227.0,4.9,48.48
system.cpu.numIssuedDist::2,16916.0,7.39,55.86
system.cpu.numIssuedDist::3,20862.0,9.11,64.97
system.cpu.numIssuedDist::4,21444.0,9.36,74.33
system.cpu.numIssuedDist::5,13835.0,6.04,80.37
system.cpu.numIssuedDist::6,17872.0,7.8,88.18
system.cpu.numIssuedDist::7,12535.0,5.47,93.65
system.cpu.numIssuedDist::8,14547.0,6.35,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,229047.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,4188.0,16.47,16.47
system.cpu.statFuBusy::IntMult,0.0,0.0,16.47
system.cpu.statFuBusy::IntDiv,0.0,0.0,16.47
system.cpu.statFuBusy::ByteMult,0.0,0.0,16.47
system.cpu.statFuBusy::ByteDiv,0.0,0.0,16.47
system.cpu.statFuBusy::FloatAdd,0.0,0.0,16.47
system.cpu.statFuBusy::FloatCmp,0.0,0.0,16.47
system.cpu.statFuBusy::FloatCvt,0.0,0.0,16.47
system.cpu.statFuBusy::FloatMult,0.0,0.0,16.47
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,16.47
