Tick: 59121000, Cache Block Addr: 78656, Byte Offset: 46, FaultType: bit_flip, Mask: 10000000
Tick: 74102000, Cache Block Addr: 92480, Byte Offset: 40, FaultType: bit_flip, Mask: 00010000
Tick: 78314000, Cache Block Addr: 93056, Byte Offset: 3, FaultType: bit_flip, Mask: 01000000
Tick: 95273000, Cache Block Addr: 123520, Byte Offset: 7, FaultType: bit_flip, Mask: 01000000
Tick: 106055000, Cache Block Addr: 122944, Byte Offset: 43, FaultType: bit_flip, Mask: 00000001
Tick: 125034000, Cache Block Addr: 85184, Byte Offset: 20, FaultType: bit_flip, Mask: 00010000
Tick: 133987000, Cache Block Addr: 79168, Byte Offset: 36, FaultType: bit_flip, Mask: 00000010
Tick: 148501000, Cache Block Addr: 104960, Byte Offset: 31, FaultType: bit_flip, Mask: 00000010
Tick: 165646000, Cache Block Addr: 111040, Byte Offset: 2, FaultType: bit_flip, Mask: 00100000
Tick: 188048000, Cache Block Addr: 80832, Byte Offset: 33, FaultType: bit_flip, Mask: 00001000
Tick: 196000000, Cache Block Addr: 77440, Byte Offset: 3, FaultType: bit_flip, Mask: 00010000
Tick: 199956000, Cache Block Addr: 103040, Byte Offset: 26, FaultType: bit_flip, Mask: 10000000
Tick: 201931000, Cache Block Addr: 108480, Byte Offset: 34, FaultType: bit_flip, Mask: 10000000
Tick: 212462000, Cache Block Addr: 98880, Byte Offset: 63, FaultType: bit_flip, Mask: 10000000
Tick: 223439000, Cache Block Addr: 115840, Byte Offset: 21, FaultType: bit_flip, Mask: 00100000
Tick: 227434000, Cache Block Addr: 61696, Byte Offset: 28, FaultType: bit_flip, Mask: 00000100
Tick: 236644000, Cache Block Addr: 119040, Byte Offset: 6, FaultType: bit_flip, Mask: 00000001
Tick: 264454000, Cache Block Addr: 92736, Byte Offset: 0, FaultType: bit_flip, Mask: 00100000
Tick: 295174000, Cache Block Addr: 126464, Byte Offset: 12, FaultType: bit_flip, Mask: 00000001
Tick: 341610000, Cache Block Addr: 99072, Byte Offset: 29, FaultType: bit_flip, Mask: 00100000
