Tick: 52088000, Cache Block Addr: 91008, Byte Offset: 19, FaultType: bit_flip, Mask: 00000100
Tick: 52089000, Cache Block Addr: 69632, Byte Offset: 23, FaultType: bit_flip, Mask: 00000010
Tick: 52095000, Cache Block Addr: 94336, Byte Offset: 5, FaultType: bit_flip, Mask: 00001000
Tick: 52099000, Cache Block Addr: 99008, Byte Offset: 25, FaultType: bit_flip, Mask: 10000000
Tick: 52108000, Cache Block Addr: 77248, Byte Offset: 4, FaultType: bit_flip, Mask: 00000001
Tick: 52110000, Cache Block Addr: 84160, Byte Offset: 41, FaultType: bit_flip, Mask: 00010000
Tick: 52137000, Cache Block Addr: 76992, Byte Offset: 23, FaultType: bit_flip, Mask: 00000100
Tick: 52143000, Cache Block Addr: 67840, Byte Offset: 37, FaultType: bit_flip, Mask: 00010000
Tick: 52144000, Cache Block Addr: 82560, Byte Offset: 28, FaultType: bit_flip, Mask: 00010000
Tick: 52157000, Cache Block Addr: 80128, Byte Offset: 15, FaultType: bit_flip, Mask: 00000100
Tick: 52180000, Cache Block Addr: 74368, Byte Offset: 49, FaultType: bit_flip, Mask: 00000001
Tick: 52189000, Cache Block Addr: 98240, Byte Offset: 4, FaultType: bit_flip, Mask: 00001000
Tick: 52207000, Cache Block Addr: 68288, Byte Offset: 53, FaultType: bit_flip, Mask: 00000001
Tick: 52211000, Cache Block Addr: 77824, Byte Offset: 20, FaultType: bit_flip, Mask: 00001000
Tick: 52223000, Cache Block Addr: 95168, Byte Offset: 63, FaultType: bit_flip, Mask: 00000001
Tick: 52237000, Cache Block Addr: 96640, Byte Offset: 30, FaultType: bit_flip, Mask: 00100000
Tick: 52237000, Cache Block Addr: 86848, Byte Offset: 51, FaultType: bit_flip, Mask: 10000000
Tick: 52238000, Cache Block Addr: 83840, Byte Offset: 26, FaultType: bit_flip, Mask: 00100000
Tick: 52239000, Cache Block Addr: 88704, Byte Offset: 59, FaultType: bit_flip, Mask: 00100000
Tick: 52240000, Cache Block Addr: 95616, Byte Offset: 12, FaultType: bit_flip, Mask: 00000100
Tick: 52240000, Cache Block Addr: 85440, Byte Offset: 48, FaultType: bit_flip, Mask: 00001000
Tick: 52252000, Cache Block Addr: 85184, Byte Offset: 6, FaultType: bit_flip, Mask: 00001000
Tick: 52256000, Cache Block Addr: 69760, Byte Offset: 60, FaultType: bit_flip, Mask: 00000100
Tick: 52256000, Cache Block Addr: 76416, Byte Offset: 7, FaultType: bit_flip, Mask: 10000000
Tick: 52260000, Cache Block Addr: 86016, Byte Offset: 56, FaultType: bit_flip, Mask: 00100000
Tick: 52265000, Cache Block Addr: 91968, Byte Offset: 4, FaultType: bit_flip, Mask: 00000100
Tick: 52267000, Cache Block Addr: 88960, Byte Offset: 46, FaultType: bit_flip, Mask: 00000100
Tick: 52267000, Cache Block Addr: 95168, Byte Offset: 3, FaultType: bit_flip, Mask: 01000000
Tick: 52268000, Cache Block Addr: 86080, Byte Offset: 48, FaultType: bit_flip, Mask: 01000000
Tick: 52285000, Cache Block Addr: 88512, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
Tick: 52323000, Cache Block Addr: 98112, Byte Offset: 0, FaultType: bit_flip, Mask: 10000000
Tick: 52340000, Cache Block Addr: 84928, Byte Offset: 40, FaultType: bit_flip, Mask: 10000000
Tick: 52346000, Cache Block Addr: 92288, Byte Offset: 51, FaultType: bit_flip, Mask: 01000000
Tick: 52347000, Cache Block Addr: 79808, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 52347000, Cache Block Addr: 92928, Byte Offset: 45, FaultType: bit_flip, Mask: 00001000
Tick: 52368000, Cache Block Addr: 88320, Byte Offset: 54, FaultType: bit_flip, Mask: 00000001
Tick: 52368000, Cache Block Addr: 72512, Byte Offset: 54, FaultType: bit_flip, Mask: 00000001
Tick: 52369000, Cache Block Addr: 76800, Byte Offset: 2, FaultType: bit_flip, Mask: 10000000
Tick: 52377000, Cache Block Addr: 87680, Byte Offset: 31, FaultType: bit_flip, Mask: 00001000
Tick: 52377000, Cache Block Addr: 69632, Byte Offset: 55, FaultType: bit_flip, Mask: 00000100
Tick: 52379000, Cache Block Addr: 98176, Byte Offset: 63, FaultType: bit_flip, Mask: 00000010
Tick: 52389000, Cache Block Addr: 81600, Byte Offset: 60, FaultType: bit_flip, Mask: 00000001
Tick: 52411000, Cache Block Addr: 86656, Byte Offset: 40, FaultType: bit_flip, Mask: 00000010
Tick: 52427000, Cache Block Addr: 90496, Byte Offset: 42, FaultType: bit_flip, Mask: 01000000
Tick: 52432000, Cache Block Addr: 85952, Byte Offset: 36, FaultType: bit_flip, Mask: 01000000
Tick: 52456000, Cache Block Addr: 80384, Byte Offset: 42, FaultType: bit_flip, Mask: 00000100
Tick: 52460000, Cache Block Addr: 98304, Byte Offset: 28, FaultType: bit_flip, Mask: 00000001
Tick: 52460000, Cache Block Addr: 70464, Byte Offset: 39, FaultType: bit_flip, Mask: 00000100
Tick: 52462000, Cache Block Addr: 76352, Byte Offset: 9, FaultType: bit_flip, Mask: 00100000
Tick: 52470000, Cache Block Addr: 90624, Byte Offset: 59, FaultType: bit_flip, Mask: 10000000
Tick: 52474000, Cache Block Addr: 77440, Byte Offset: 25, FaultType: bit_flip, Mask: 00000001
Tick: 52482000, Cache Block Addr: 82176, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 52483000, Cache Block Addr: 92032, Byte Offset: 16, FaultType: bit_flip, Mask: 00000100
