stat,value,pct,cum_pct
simSeconds,5.7e-05,,
simTicks,57089000.0,,
finalTick,57089000.0,,
simFreq,1000000000000.0,,
hostSeconds,1.79,,
hostTickRate,31822274.0,,
hostMemory,8528148.0,,
simInsts,95478.0,,
simOps,95478.0,,
hostInstRate,53219.0,,
hostOpRate,53219.0,,
system.chaos.numFaultsInjected,560.0,,
system.chaos.numBitFlips,560.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,57090.0,,
system.cpu.cpi,0.597939,,
system.cpu.ipc,1.672412,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,99119.0,,
system.cpu.nonSpecInstsAdded,22.0,,
system.cpu.instsIssued,106465.0,,
system.cpu.squashedInstsIssued,102.0,,
system.cpu.squashedInstsExamined,3471.0,,
system.cpu.squashedOperandsExamined,1697.0,,
system.cpu.squashedNonSpecRemoved,9.0,,
system.cpu.numIssuedDist::samples,56367.0,,
system.cpu.numIssuedDist::mean,1.888782,,
system.cpu.numIssuedDist::stdev,2.402466,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,27917.0,49.53,49.53
system.cpu.numIssuedDist::1,5091.0,9.03,58.56
system.cpu.numIssuedDist::2,5566.0,9.87,68.43
system.cpu.numIssuedDist::3,3412.0,6.05,74.49
system.cpu.numIssuedDist::4,3748.0,6.65,81.14
system.cpu.numIssuedDist::5,3423.0,6.07,87.21
system.cpu.numIssuedDist::6,4047.0,7.18,94.39
system.cpu.numIssuedDist::7,1687.0,2.99,97.38
system.cpu.numIssuedDist::8,1476.0,2.62,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,56367.0,,
