run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:25+00:00,2026-05-10T02:24:27+00:00
2,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:25+00:00,2026-05-10T02:24:27+00:00
4,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:27+00:00,2026-05-10T02:24:29+00:00
5,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:27+00:00,2026-05-10T02:24:29+00:00
8,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:29+00:00,2026-05-10T02:24:31+00:00
9,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:30+00:00,2026-05-10T02:24:32+00:00
10,CRASH,0,2,unrecoverable_dirty,2026-05-10T02:24:31+00:00,2026-05-10T02:24:33+00:00
7,OK,0,11,-,2026-05-10T02:24:29+00:00,2026-05-10T02:24:40+00:00
3,CRASH,137,15,exit_137,2026-05-10T02:24:26+00:00,2026-05-10T02:24:41+00:00
6,CRASH,137,15,exit_137,2026-05-10T02:24:28+00:00,2026-05-10T02:24:43+00:00
