Tick: 52084000, Cache Block Addr: 89792, Byte Offset: 24, FaultType: bit_flip, Mask: 00000100
Tick: 52095000, Cache Block Addr: 92224, Byte Offset: 40, FaultType: bit_flip, Mask: 00000100
Tick: 52099000, Cache Block Addr: 80768, Byte Offset: 50, FaultType: bit_flip, Mask: 00000001
Tick: 52102000, Cache Block Addr: 88384, Byte Offset: 51, FaultType: bit_flip, Mask: 00100000
Tick: 52111000, Cache Block Addr: 77760, Byte Offset: 8, FaultType: bit_flip, Mask: 00010000
Tick: 52129000, Cache Block Addr: 72384, Byte Offset: 1, FaultType: bit_flip, Mask: 10000000
Tick: 52132000, Cache Block Addr: 95680, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 52165000, Cache Block Addr: 79296, Byte Offset: 32, FaultType: bit_flip, Mask: 00100000
Tick: 52180000, Cache Block Addr: 98560, Byte Offset: 28, FaultType: bit_flip, Mask: 00010000
Tick: 52181000, Cache Block Addr: 72320, Byte Offset: 21, FaultType: bit_flip, Mask: 00100000
Tick: 52185000, Cache Block Addr: 68224, Byte Offset: 43, FaultType: bit_flip, Mask: 00100000
Tick: 52190000, Cache Block Addr: 99776, Byte Offset: 35, FaultType: bit_flip, Mask: 00000010
Tick: 52193000, Cache Block Addr: 72576, Byte Offset: 54, FaultType: bit_flip, Mask: 00000010
Tick: 52216000, Cache Block Addr: 80512, Byte Offset: 12, FaultType: bit_flip, Mask: 01000000
Tick: 52222000, Cache Block Addr: 78464, Byte Offset: 8, FaultType: bit_flip, Mask: 00100000
Tick: 52223000, Cache Block Addr: 95488, Byte Offset: 34, FaultType: bit_flip, Mask: 00010000
Tick: 52226000, Cache Block Addr: 86720, Byte Offset: 38, FaultType: bit_flip, Mask: 00100000
Tick: 52243000, Cache Block Addr: 86016, Byte Offset: 21, FaultType: bit_flip, Mask: 00001000
Tick: 52248000, Cache Block Addr: 88000, Byte Offset: 13, FaultType: bit_flip, Mask: 00000100
Tick: 52268000, Cache Block Addr: 100672, Byte Offset: 0, FaultType: bit_flip, Mask: 00000001
Tick: 52271000, Cache Block Addr: 92864, Byte Offset: 40, FaultType: bit_flip, Mask: 00000010
Tick: 52277000, Cache Block Addr: 80064, Byte Offset: 13, FaultType: bit_flip, Mask: 00000100
Tick: 52281000, Cache Block Addr: 92160, Byte Offset: 19, FaultType: bit_flip, Mask: 00001000
