
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000099                       # Number of seconds simulated (Second)
simTicks                                     98658000                       # Number of ticks simulated (Tick)
finalTick                                    98658000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.06                       # Real time elapsed on the host (Second)
hostTickRate                                 32225180                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529156                       # Number of bytes of host memory used (Byte)
simInsts                                       148457                       # Number of instructions simulated (Count)
simOps                                         148457                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48490                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48490                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                   5049                       # Total number of faults injected (Count)
system.chaos.numBitFlips                         5049                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            98659                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.664563                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.504749                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          155210                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       41                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         166230                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    191                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6793                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              3544                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  15                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               95768                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.735757                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.346215                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     50799     53.04%     53.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      8363      8.73%     61.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      8622      9.00%     70.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      5943      6.21%     76.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5600      5.85%     82.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      5351      5.59%     88.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      6224      6.50%     94.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2633      2.75%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2233      2.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 95768                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     629     18.69%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     18.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     18.69% # attempts to use FU when none available (Count)
