run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
2,OK,0,3,-,2026-05-10T02:22:01+00:00,2026-05-10T02:22:04+00:00
1,CRASH,137,15,exit_137,2026-05-10T02:22:00+00:00,2026-05-10T02:22:15+00:00
3,CRASH,137,15,exit_137,2026-05-10T02:22:04+00:00,2026-05-10T02:22:19+00:00
4,CRASH,137,15,exit_137,2026-05-10T02:22:06+00:00,2026-05-10T02:22:21+00:00
5,CRASH,137,15,exit_137,2026-05-10T02:22:07+00:00,2026-05-10T02:22:22+00:00
6,CRASH,137,15,exit_137,2026-05-10T02:22:11+00:00,2026-05-10T02:22:26+00:00
7,CRASH,137,15,exit_137,2026-05-10T02:22:12+00:00,2026-05-10T02:22:27+00:00
8,CRASH,137,15,exit_137,2026-05-10T02:22:15+00:00,2026-05-10T02:22:30+00:00
9,CRASH,137,15,exit_137,2026-05-10T02:22:19+00:00,2026-05-10T02:22:34+00:00
10,CRASH,137,15,exit_137,2026-05-10T02:22:21+00:00,2026-05-10T02:22:36+00:00
