stat,value,pct,cum_pct
simSeconds,0.00034,,
simTicks,339822000.0,,
finalTick,339822000.0,,
simFreq,1000000000000.0,,
hostSeconds,4.42,,
hostTickRate,76921806.0,,
hostMemory,8529184.0,,
simInsts,176921.0,,
simOps,176921.0,,
hostInstRate,40047.0,,
hostOpRate,40047.0,,
system.chaos.numFaultsInjected,32.0,,
system.chaos.numBitFlips,32.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,339823.0,,
system.cpu.cpi,1.920761,,
system.cpu.ipc,0.520627,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,183731.0,,
system.cpu.nonSpecInstsAdded,40.0,,
system.cpu.instsIssued,198637.0,,
system.cpu.squashedInstsIssued,198.0,,
system.cpu.squashedInstsExamined,6849.0,,
system.cpu.squashedOperandsExamined,3597.0,,
system.cpu.squashedNonSpecRemoved,14.0,,
system.cpu.numIssuedDist::samples,336798.0,,
system.cpu.numIssuedDist::mean,0.589781,,
system.cpu.numIssuedDist::stdev,1.523338,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,277567.0,82.41,82.41
system.cpu.numIssuedDist::1,11615.0,3.45,85.86
system.cpu.numIssuedDist::2,12509.0,3.71,89.58
system.cpu.numIssuedDist::3,13056.0,3.88,93.45
system.cpu.numIssuedDist::4,5609.0,1.67,95.12
system.cpu.numIssuedDist::5,5352.0,1.59,96.71
system.cpu.numIssuedDist::6,6225.0,1.85,98.56
system.cpu.numIssuedDist::7,2630.0,0.78,99.34
system.cpu.numIssuedDist::8,2235.0,0.66,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,336798.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,629.0,18.64,18.64
system.cpu.statFuBusy::IntMult,0.0,0.0,18.64
system.cpu.statFuBusy::IntDiv,0.0,0.0,18.64
system.cpu.statFuBusy::ByteMult,0.0,0.0,18.64
system.cpu.statFuBusy::ByteDiv,0.0,0.0,18.64
system.cpu.statFuBusy::FloatAdd,0.0,0.0,18.64
system.cpu.statFuBusy::FloatCmp,0.0,0.0,18.64
system.cpu.statFuBusy::FloatCvt,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMult,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::FloatDiv,0.0,0.0,18.64
system.cpu.statFuBusy::FloatMisc,0.0,0.0,18.64
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdCvt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMisc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMult,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShift,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdDiv,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,18.64
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,18.64
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAes,0.0,0.0,18.64
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,18.64
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,18.64
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,18.64
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,18.64
system.cpu.statFuBusy::Matrix,0.0,0.0,18.64
system.cpu.statFuBusy::MatrixMov,0.0,0.0,18.64
system.cpu.statFuBusy::MatrixOP,0.0,0.0,18.64
system.cpu.statFuBusy::MemRead,2687.0,79.61,98.25
system.cpu.statFuBusy::MemWrite,59.0,1.75,100.0
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,100.0
system.cpu.statFuBusy::FloatMemWrite,0.0,0.0,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
