Tick: 52080000, Cache Block Addr: 82240, Byte Offset: 63, FaultType: bit_flip, Mask: 00000100
Tick: 52080000, Cache Block Addr: 88832, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 52082000, Cache Block Addr: 89088, Byte Offset: 14, FaultType: bit_flip, Mask: 00001000
Tick: 52085000, Cache Block Addr: 91392, Byte Offset: 46, FaultType: bit_flip, Mask: 00000010
Tick: 52090000, Cache Block Addr: 88000, Byte Offset: 32, FaultType: bit_flip, Mask: 00000001
Tick: 52091000, Cache Block Addr: 75712, Byte Offset: 19, FaultType: bit_flip, Mask: 10000000
Tick: 52123000, Cache Block Addr: 86656, Byte Offset: 36, FaultType: bit_flip, Mask: 01000000
Tick: 52126000, Cache Block Addr: 86912, Byte Offset: 31, FaultType: bit_flip, Mask: 01000000
Tick: 52131000, Cache Block Addr: 69312, Byte Offset: 9, FaultType: bit_flip, Mask: 00100000
Tick: 52135000, Cache Block Addr: 98752, Byte Offset: 17, FaultType: bit_flip, Mask: 10000000
Tick: 52138000, Cache Block Addr: 96000, Byte Offset: 25, FaultType: bit_flip, Mask: 00000010
Tick: 52144000, Cache Block Addr: 97792, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 52149000, Cache Block Addr: 84352, Byte Offset: 61, FaultType: bit_flip, Mask: 00100000
Tick: 52149000, Cache Block Addr: 90944, Byte Offset: 60, FaultType: bit_flip, Mask: 00001000
Tick: 52149000, Cache Block Addr: 84928, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 52150000, Cache Block Addr: 74304, Byte Offset: 18, FaultType: bit_flip, Mask: 10000000
Tick: 52168000, Cache Block Addr: 83008, Byte Offset: 3, FaultType: bit_flip, Mask: 00001000
Tick: 52172000, Cache Block Addr: 100288, Byte Offset: 61, FaultType: bit_flip, Mask: 00100000
Tick: 52181000, Cache Block Addr: 73984, Byte Offset: 7, FaultType: bit_flip, Mask: 00000100
Tick: 52183000, Cache Block Addr: 76800, Byte Offset: 48, FaultType: bit_flip, Mask: 00010000
Tick: 52197000, Cache Block Addr: 99456, Byte Offset: 13, FaultType: bit_flip, Mask: 10000000
Tick: 52197000, Cache Block Addr: 89536, Byte Offset: 0, FaultType: bit_flip, Mask: 10000000
Tick: 52199000, Cache Block Addr: 78016, Byte Offset: 41, FaultType: bit_flip, Mask: 00010000
Tick: 52202000, Cache Block Addr: 89792, Byte Offset: 37, FaultType: bit_flip, Mask: 00100000
Tick: 52204000, Cache Block Addr: 68608, Byte Offset: 4, FaultType: bit_flip, Mask: 10000000
Tick: 52209000, Cache Block Addr: 96320, Byte Offset: 0, FaultType: bit_flip, Mask: 00000001
Tick: 52223000, Cache Block Addr: 84864, Byte Offset: 24, FaultType: bit_flip, Mask: 00100000
Tick: 52228000, Cache Block Addr: 93056, Byte Offset: 19, FaultType: bit_flip, Mask: 00001000
Tick: 52240000, Cache Block Addr: 85056, Byte Offset: 31, FaultType: bit_flip, Mask: 00100000
Tick: 52257000, Cache Block Addr: 95040, Byte Offset: 60, FaultType: bit_flip, Mask: 00010000
Tick: 52281000, Cache Block Addr: 68608, Byte Offset: 10, FaultType: bit_flip, Mask: 10000000
Tick: 52281000, Cache Block Addr: 90560, Byte Offset: 38, FaultType: bit_flip, Mask: 00000100
Tick: 52288000, Cache Block Addr: 88512, Byte Offset: 47, FaultType: bit_flip, Mask: 00000001
Tick: 52293000, Cache Block Addr: 95872, Byte Offset: 11, FaultType: bit_flip, Mask: 00000001
Tick: 52323000, Cache Block Addr: 78336, Byte Offset: 29, FaultType: bit_flip, Mask: 00100000
Tick: 52323000, Cache Block Addr: 73664, Byte Offset: 40, FaultType: bit_flip, Mask: 00010000
Tick: 52325000, Cache Block Addr: 76992, Byte Offset: 37, FaultType: bit_flip, Mask: 00000100
Tick: 52326000, Cache Block Addr: 85376, Byte Offset: 32, FaultType: bit_flip, Mask: 00000010
Tick: 52336000, Cache Block Addr: 87936, Byte Offset: 48, FaultType: bit_flip, Mask: 10000000
Tick: 52347000, Cache Block Addr: 89408, Byte Offset: 1, FaultType: bit_flip, Mask: 00000100
Tick: 52354000, Cache Block Addr: 93184, Byte Offset: 60, FaultType: bit_flip, Mask: 01000000
Tick: 52355000, Cache Block Addr: 74432, Byte Offset: 0, FaultType: bit_flip, Mask: 00010000
Tick: 52359000, Cache Block Addr: 88448, Byte Offset: 51, FaultType: bit_flip, Mask: 00100000
Tick: 52374000, Cache Block Addr: 75264, Byte Offset: 53, FaultType: bit_flip, Mask: 00000100
Tick: 52388000, Cache Block Addr: 92160, Byte Offset: 30, FaultType: bit_flip, Mask: 00100000
Tick: 52400000, Cache Block Addr: 71680, Byte Offset: 53, FaultType: bit_flip, Mask: 00100000
Tick: 52409000, Cache Block Addr: 88768, Byte Offset: 55, FaultType: bit_flip, Mask: 00010000
Tick: 52430000, Cache Block Addr: 93056, Byte Offset: 42, FaultType: bit_flip, Mask: 00000010
Tick: 52430000, Cache Block Addr: 95680, Byte Offset: 19, FaultType: bit_flip, Mask: 01000000
Tick: 52438000, Cache Block Addr: 77952, Byte Offset: 20, FaultType: bit_flip, Mask: 10000000
Tick: 52439000, Cache Block Addr: 96896, Byte Offset: 25, FaultType: bit_flip, Mask: 00001000
Tick: 52439000, Cache Block Addr: 88704, Byte Offset: 58, FaultType: bit_flip, Mask: 00000001
Tick: 52445000, Cache Block Addr: 77504, Byte Offset: 29, FaultType: bit_flip, Mask: 00010000
Tick: 52445000, Cache Block Addr: 96768, Byte Offset: 50, FaultType: bit_flip, Mask: 10000000
Tick: 52463000, Cache Block Addr: 82368, Byte Offset: 7, FaultType: bit_flip, Mask: 00000100
Tick: 52475000, Cache Block Addr: 76416, Byte Offset: 62, FaultType: bit_flip, Mask: 01000000
Tick: 52501000, Cache Block Addr: 77824, Byte Offset: 4, FaultType: bit_flip, Mask: 00000010
Tick: 52538000, Cache Block Addr: 78912, Byte Offset: 33, FaultType: bit_flip, Mask: 00100000
Tick: 52548000, Cache Block Addr: 82112, Byte Offset: 21, FaultType: bit_flip, Mask: 00000100
Tick: 52573000, Cache Block Addr: 91008, Byte Offset: 41, FaultType: bit_flip, Mask: 00000010
Tick: 52576000, Cache Block Addr: 77824, Byte Offset: 41, FaultType: bit_flip, Mask: 00100000
Tick: 52578000, Cache Block Addr: 100736, Byte Offset: 58, FaultType: bit_flip, Mask: 00100000
Tick: 52578000, Cache Block Addr: 80128, Byte Offset: 3, FaultType: bit_flip, Mask: 00000100
