stat,value,pct,cum_pct
simSeconds,0.000104,,
simTicks,104355000.0,,
finalTick,104355000.0,,
simFreq,1000000000000.0,,
hostSeconds,2.88,,
hostTickRate,36292695.0,,
hostMemory,8528152.0,,
simInsts,150489.0,,
simOps,150489.0,,
hostInstRate,52336.0,,
hostOpRate,52336.0,,
system.chaos.numFaultsInjected,53.0,,
system.chaos.numBitFlips,53.0,,
system.chaos.numStuckAtZero,0.0,,
system.chaos.numStuckAtOne,0.0,,
system.chaos.numPermanentFaults,0.0,,
system.clk_domain.clock,1000.0,,
system.clk_domain.voltage_domain.voltage,1.0,,
system.cpu.numCycles,104356.0,,
system.cpu.cpi,0.693446,,
system.cpu.ipc,1.442073,,
system.cpu.numWorkItemsStarted,0.0,,
system.cpu.numWorkItemsCompleted,0.0,,
system.cpu.instsAdded,157214.0,,
system.cpu.nonSpecInstsAdded,40.0,,
system.cpu.instsIssued,168302.0,,
system.cpu.squashedInstsIssued,188.0,,
system.cpu.squashedInstsExamined,6764.0,,
system.cpu.squashedOperandsExamined,3531.0,,
system.cpu.squashedNonSpecRemoved,14.0,,
system.cpu.numIssuedDist::samples,101165.0,,
system.cpu.numIssuedDist::mean,1.663639,,
system.cpu.numIssuedDist::stdev,2.31209,,
system.cpu.numIssuedDist::underflows,0.0,0.0,0.0
system.cpu.numIssuedDist::0,55181.0,54.55,54.55
system.cpu.numIssuedDist::1,8808.0,8.71,63.25
system.cpu.numIssuedDist::2,8687.0,8.59,71.84
system.cpu.numIssuedDist::3,6455.0,6.38,78.22
system.cpu.numIssuedDist::4,5600.0,5.54,83.76
system.cpu.numIssuedDist::5,5345.0,5.28,89.04
system.cpu.numIssuedDist::6,6225.0,6.15,95.19
system.cpu.numIssuedDist::7,2632.0,2.6,97.79
system.cpu.numIssuedDist::8,2232.0,2.21,100.0
system.cpu.numIssuedDist::overflows,0.0,0.0,100.0
system.cpu.numIssuedDist::min_value,0.0,,
system.cpu.numIssuedDist::max_value,8.0,,
system.cpu.numIssuedDist::total,101165.0,,
system.cpu.statFuBusy::No_OpClass,0.0,0.0,0.0
system.cpu.statFuBusy::IntAlu,629.0,18.7,18.7
system.cpu.statFuBusy::IntMult,0.0,0.0,18.7
system.cpu.statFuBusy::IntDiv,0.0,0.0,18.7
system.cpu.statFuBusy::ByteMult,0.0,0.0,18.7
system.cpu.statFuBusy::ByteDiv,0.0,0.0,18.7
system.cpu.statFuBusy::FloatAdd,0.0,0.0,18.7
system.cpu.statFuBusy::FloatCmp,0.0,0.0,18.7
system.cpu.statFuBusy::FloatCvt,0.0,0.0,18.7
system.cpu.statFuBusy::FloatMult,0.0,0.0,18.7
system.cpu.statFuBusy::FloatMultAcc,0.0,0.0,18.7
system.cpu.statFuBusy::FloatDiv,0.0,0.0,18.7
system.cpu.statFuBusy::FloatMisc,0.0,0.0,18.7
system.cpu.statFuBusy::FloatSqrt,0.0,0.0,18.7
system.cpu.statFuBusy::SimdAdd,0.0,0.0,18.7
system.cpu.statFuBusy::SimdAddAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdAlu,0.0,0.0,18.7
system.cpu.statFuBusy::SimdCmp,0.0,0.0,18.7
system.cpu.statFuBusy::SimdCvt,0.0,0.0,18.7
system.cpu.statFuBusy::SimdMisc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdMult,0.0,0.0,18.7
system.cpu.statFuBusy::SimdMultAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdMatMultAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdShift,0.0,0.0,18.7
system.cpu.statFuBusy::SimdShiftAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdDiv,0.0,0.0,18.7
system.cpu.statFuBusy::SimdSqrt,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatAdd,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatAlu,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatCmp,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatCvt,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatDiv,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatMisc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatMult,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatMultAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatMatMultAcc,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatSqrt,0.0,0.0,18.7
system.cpu.statFuBusy::SimdReduceAdd,0.0,0.0,18.7
system.cpu.statFuBusy::SimdReduceAlu,0.0,0.0,18.7
system.cpu.statFuBusy::SimdReduceCmp,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatReduceAdd,0.0,0.0,18.7
system.cpu.statFuBusy::SimdFloatReduceCmp,0.0,0.0,18.7
system.cpu.statFuBusy::SimdAes,0.0,0.0,18.7
system.cpu.statFuBusy::SimdAesMix,0.0,0.0,18.7
system.cpu.statFuBusy::SimdSha1Hash,0.0,0.0,18.7
system.cpu.statFuBusy::SimdSha1Hash2,0.0,0.0,18.7
system.cpu.statFuBusy::SimdSha256Hash,0.0,0.0,18.7
system.cpu.statFuBusy::SimdSha256Hash2,0.0,0.0,18.7
system.cpu.statFuBusy::SimdShaSigma2,0.0,0.0,18.7
system.cpu.statFuBusy::SimdShaSigma3,0.0,0.0,18.7
system.cpu.statFuBusy::SimdPredAlu,0.0,0.0,18.7
system.cpu.statFuBusy::Matrix,0.0,0.0,18.7
system.cpu.statFuBusy::MatrixMov,0.0,0.0,18.7
system.cpu.statFuBusy::MatrixOP,0.0,0.0,18.7
system.cpu.statFuBusy::MemRead,2676.0,79.55,98.25
system.cpu.statFuBusy::MemWrite,59.0,1.75,100.0
system.cpu.statFuBusy::FloatMemRead,0.0,0.0,100.0
system.cpu.statFuBusy::FloatMemWrite,0.0,0.0,100.0
system.cpu.statFuBusy::IprAccess,0.0,0.0,100.0
system.cpu.statFuBusy::InstPrefetch,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideMaskStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorStridedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIndexedStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorUnitStrideFaultOnlyFirstLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterLoad,0.0,0.0,100.0
system.cpu.statFuBusy::VectorWholeRegisterStore,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatArith,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatConvert,0.0,0.0,100.0
system.cpu.statFuBusy::VectorIntegerReduce,0.0,0.0,100.0
system.cpu.statFuBusy::VectorFloatReduce,0.0,0.0,100.0
