run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,OK,0,3,-,2026-05-11T00:49:43+00:00,2026-05-11T00:49:46+00:00
2,CRASH,137,15,exit_137,2026-05-11T00:49:44+00:00,2026-05-11T00:49:59+00:00
3,CRASH,137,15,exit_137,2026-05-11T00:49:46+00:00,2026-05-11T00:50:01+00:00
4,CRASH,137,15,exit_137,2026-05-11T00:49:47+00:00,2026-05-11T00:50:02+00:00
5,CRASH,137,15,exit_137,2026-05-11T00:49:48+00:00,2026-05-11T00:50:03+00:00
6,CRASH,137,15,exit_137,2026-05-11T00:49:48+00:00,2026-05-11T00:50:03+00:00
7,CRASH,137,15,exit_137,2026-05-11T00:49:53+00:00,2026-05-11T00:50:08+00:00
8,CRASH,137,15,exit_137,2026-05-11T00:49:59+00:00,2026-05-11T00:50:14+00:00
9,CRASH,137,15,exit_137,2026-05-11T00:50:01+00:00,2026-05-11T00:50:16+00:00
10,CRASH,137,15,exit_137,2026-05-11T00:50:02+00:00,2026-05-11T00:50:17+00:00
11,CRASH,137,15,exit_137,2026-05-11T00:50:03+00:00,2026-05-11T00:50:18+00:00
12,CRASH,137,15,exit_137,2026-05-11T00:50:03+00:00,2026-05-11T00:50:18+00:00
13,CRASH,137,15,exit_137,2026-05-11T00:50:08+00:00,2026-05-11T00:50:23+00:00
14,CRASH,137,15,exit_137,2026-05-11T00:50:14+00:00,2026-05-11T00:50:29+00:00
15,CRASH,137,15,exit_137,2026-05-11T00:50:16+00:00,2026-05-11T00:50:31+00:00
16,CRASH,137,15,exit_137,2026-05-11T00:50:17+00:00,2026-05-11T00:50:32+00:00
17,CRASH,137,15,exit_137,2026-05-11T00:50:18+00:00,2026-05-11T00:50:33+00:00
18,CRASH,137,15,exit_137,2026-05-11T00:50:18+00:00,2026-05-11T00:50:33+00:00
19,CRASH,137,15,exit_137,2026-05-11T00:50:23+00:00,2026-05-11T00:50:38+00:00
20,CRASH,137,15,exit_137,2026-05-11T00:50:29+00:00,2026-05-11T00:50:44+00:00
21,CRASH,137,15,exit_137,2026-05-11T00:50:31+00:00,2026-05-11T00:50:46+00:00
22,CRASH,137,15,exit_137,2026-05-11T00:50:32+00:00,2026-05-11T00:50:47+00:00
23,CRASH,137,15,exit_137,2026-05-11T00:50:33+00:00,2026-05-11T00:50:48+00:00
24,CRASH,137,15,exit_137,2026-05-11T00:50:33+00:00,2026-05-11T00:50:48+00:00
25,CRASH,137,15,exit_137,2026-05-11T00:50:38+00:00,2026-05-11T00:50:53+00:00
26,CRASH,137,15,exit_137,2026-05-11T00:50:44+00:00,2026-05-11T00:50:59+00:00
27,CRASH,137,15,exit_137,2026-05-11T00:50:46+00:00,2026-05-11T00:51:01+00:00
28,CRASH,137,15,exit_137,2026-05-11T00:50:47+00:00,2026-05-11T00:51:02+00:00
29,CRASH,137,15,exit_137,2026-05-11T00:50:48+00:00,2026-05-11T00:51:03+00:00
30,CRASH,137,15,exit_137,2026-05-11T00:50:48+00:00,2026-05-11T00:51:03+00:00
31,CRASH,137,15,exit_137,2026-05-11T00:50:53+00:00,2026-05-11T00:51:08+00:00
32,CRASH,137,15,exit_137,2026-05-11T00:50:59+00:00,2026-05-11T00:51:14+00:00
33,CRASH,137,15,exit_137,2026-05-11T00:51:01+00:00,2026-05-11T00:51:16+00:00
34,CRASH,137,15,exit_137,2026-05-11T00:51:02+00:00,2026-05-11T00:51:17+00:00
35,CRASH,137,15,exit_137,2026-05-11T00:51:03+00:00,2026-05-11T00:51:18+00:00
36,CRASH,137,15,exit_137,2026-05-11T00:51:03+00:00,2026-05-11T00:51:18+00:00
37,CRASH,137,15,exit_137,2026-05-11T00:51:08+00:00,2026-05-11T00:51:23+00:00
38,CRASH,137,15,exit_137,2026-05-11T00:51:14+00:00,2026-05-11T00:51:29+00:00
39,CRASH,137,15,exit_137,2026-05-11T00:51:16+00:00,2026-05-11T00:51:31+00:00
40,CRASH,137,15,exit_137,2026-05-11T00:51:17+00:00,2026-05-11T00:51:32+00:00
