Tick: 71639000, Cache Block Addr: 108416, Byte Offset: 9, FaultType: bit_flip, Mask: 00100000
Tick: 87960000, Cache Block Addr: 102592, Byte Offset: 18, FaultType: bit_flip, Mask: 00100000
Tick: 99239000, Cache Block Addr: 67520, Byte Offset: 9, FaultType: bit_flip, Mask: 00100000
Tick: 100770000, Cache Block Addr: 61760, Byte Offset: 9, FaultType: bit_flip, Mask: 01000000
Tick: 138837000, Cache Block Addr: 90560, Byte Offset: 52, FaultType: bit_flip, Mask: 00100000
Tick: 161565000, Cache Block Addr: 64448, Byte Offset: 47, FaultType: bit_flip, Mask: 00100000
Tick: 188349000, Cache Block Addr: 77184, Byte Offset: 15, FaultType: bit_flip, Mask: 01000000
Tick: 191330000, Cache Block Addr: 73152, Byte Offset: 56, FaultType: bit_flip, Mask: 00000001
Tick: 223199000, Cache Block Addr: 65344, Byte Offset: 49, FaultType: bit_flip, Mask: 01000000
Tick: 228119000, Cache Block Addr: 126784, Byte Offset: 39, FaultType: bit_flip, Mask: 00000010
Tick: 245236000, Cache Block Addr: 63360, Byte Offset: 36, FaultType: bit_flip, Mask: 00100000
Tick: 246803000, Cache Block Addr: 89856, Byte Offset: 40, FaultType: bit_flip, Mask: 00000100
Tick: 253633000, Cache Block Addr: 97536, Byte Offset: 27, FaultType: bit_flip, Mask: 00100000
Tick: 269892000, Cache Block Addr: 102656, Byte Offset: 32, FaultType: bit_flip, Mask: 00010000
Tick: 271872000, Cache Block Addr: 95168, Byte Offset: 17, FaultType: bit_flip, Mask: 00001000
Tick: 294077000, Cache Block Addr: 126656, Byte Offset: 14, FaultType: bit_flip, Mask: 00010000
Tick: 303198000, Cache Block Addr: 73600, Byte Offset: 34, FaultType: bit_flip, Mask: 10000000
Tick: 317086000, Cache Block Addr: 97728, Byte Offset: 22, FaultType: bit_flip, Mask: 00000010
Tick: 318793000, Cache Block Addr: 100480, Byte Offset: 46, FaultType: bit_flip, Mask: 00000001
Tick: 324307000, Cache Block Addr: 85568, Byte Offset: 59, FaultType: bit_flip, Mask: 00001000
Tick: 330430000, Cache Block Addr: 92160, Byte Offset: 48, FaultType: bit_flip, Mask: 00001000
Tick: 334032000, Cache Block Addr: 96896, Byte Offset: 61, FaultType: bit_flip, Mask: 00100000
Tick: 345526000, Cache Block Addr: 119744, Byte Offset: 32, FaultType: bit_flip, Mask: 00100000
