
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001768                       # Number of seconds simulated (Second)
simTicks                                   1768494000                       # Number of ticks simulated (Tick)
finalTick                                  1768494000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     65.23                       # Real time elapsed on the host (Second)
hostTickRate                                 27112800                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8530708                       # Number of bytes of host memory used (Byte)
simInsts                                       918625                       # Number of instructions simulated (Count)
simOps                                         918631                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    14083                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      14084                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                    179                       # Total number of faults injected (Count)
system.chaos.numBitFlips                          179                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1768495                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.925154                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.519439                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          989972                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2153                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         977994                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1762                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                73493                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             37402                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1763152                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.554685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.374067                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1351073     76.63%     76.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    213252     12.09%     88.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     57329      3.25%     91.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     61267      3.47%     95.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     21453      1.22%     96.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     13827      0.78%     97.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     17867      1.01%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     12538      0.71%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14546      0.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1763152                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4188     16.46%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     16.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     16.46% # attempts to use FU when none available (Count)
