
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000094                       # Number of seconds simulated (Second)
simTicks                                     93882000                       # Number of ticks simulated (Tick)
finalTick                                    93882000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.17                       # Real time elapsed on the host (Second)
hostTickRate                                 29599321                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8531932                       # Number of bytes of host memory used (Byte)
simInsts                                       155012                       # Number of instructions simulated (Count)
simOps                                         155058                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48871                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48886                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                      5                       # Total number of faults injected (Count)
system.chaos.numBitFlips                            5                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            93883                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.605650                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.651119                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          172502                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      234                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         177342                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    719                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17677                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             10784                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 100                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               83788                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.116556                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.655236                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     42801     51.08%     51.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      5462      6.52%     57.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      4570      5.45%     63.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6717      8.02%     71.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5000      5.97%     77.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      4324      5.16%     82.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7215      8.61%     90.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3913      4.67%     95.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3786      4.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 83788                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5164     63.90%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     63.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     63.90% # attempts to use FU when none available (Count)
