Tick: 77834000, Cache Block Addr: 112704, Byte Offset: 12, FaultType: bit_flip, Mask: 00000010
Tick: 94272000, Cache Block Addr: 65600, Byte Offset: 34, FaultType: bit_flip, Mask: 00000010
Tick: 114888000, Cache Block Addr: 72832, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 118846000, Cache Block Addr: 89088, Byte Offset: 61, FaultType: bit_flip, Mask: 00000001
Tick: 130199000, Cache Block Addr: 100160, Byte Offset: 38, FaultType: bit_flip, Mask: 00001000
Tick: 155583000, Cache Block Addr: 119744, Byte Offset: 7, FaultType: bit_flip, Mask: 00010000
Tick: 174655000, Cache Block Addr: 61504, Byte Offset: 42, FaultType: bit_flip, Mask: 00000001
Tick: 178796000, Cache Block Addr: 124416, Byte Offset: 28, FaultType: bit_flip, Mask: 00001000
Tick: 225164000, Cache Block Addr: 106880, Byte Offset: 53, FaultType: bit_flip, Mask: 10000000
Tick: 233999000, Cache Block Addr: 124928, Byte Offset: 2, FaultType: bit_flip, Mask: 01000000
Tick: 241938000, Cache Block Addr: 125952, Byte Offset: 33, FaultType: bit_flip, Mask: 00000001
Tick: 248612000, Cache Block Addr: 83008, Byte Offset: 46, FaultType: bit_flip, Mask: 00001000
Tick: 253961000, Cache Block Addr: 99392, Byte Offset: 20, FaultType: bit_flip, Mask: 00000001
Tick: 264140000, Cache Block Addr: 107904, Byte Offset: 43, FaultType: bit_flip, Mask: 00100000
Tick: 267096000, Cache Block Addr: 102464, Byte Offset: 39, FaultType: bit_flip, Mask: 00001000
Tick: 308884000, Cache Block Addr: 66240, Byte Offset: 21, FaultType: bit_flip, Mask: 10000000
Tick: 316804000, Cache Block Addr: 69056, Byte Offset: 42, FaultType: bit_flip, Mask: 00000010
Tick: 330421000, Cache Block Addr: 108608, Byte Offset: 44, FaultType: bit_flip, Mask: 00000010
Tick: 333302000, Cache Block Addr: 97920, Byte Offset: 61, FaultType: bit_flip, Mask: 00001000
Tick: 335810000, Cache Block Addr: 110592, Byte Offset: 52, FaultType: bit_flip, Mask: 10000000
Tick: 336105000, Cache Block Addr: 113920, Byte Offset: 43, FaultType: bit_flip, Mask: 01000000
Tick: 341227000, Cache Block Addr: 96512, Byte Offset: 30, FaultType: bit_flip, Mask: 00001000
Tick: 342226000, Cache Block Addr: 103168, Byte Offset: 27, FaultType: bit_flip, Mask: 00000010
